Index,0 [0x0][0x0]
0,""
1,"확인"
2,"취소"
3,"예"
4,"아니오"
5,"중단"
6,"<switch:<color #F3F3F3>/<color #C0FFC0>/<color #5990FF>/<color #B38CFF>/<color #FFA666>/<color #FFE119>/<color #FA89B6>/<color #E9C29C>>"
7,"없음"
8,"…"
9,""
10,"일본어"
11,"영어"
12,"독일어"
13,"프랑스어"
14,"중국어(간체)"
15,"온라인 ID: <value>"
16,"..."
17,"<value>"
18,"<value>"
19,"<value>/<value>"
20,"<value>"
21,"<value>/<value>/<value> <value>:<value>"
22,"<value>/<value>/<value> <value>:<value>"
23,"<value>/<value>/<value>"
24,"<value>/<value>/<value>"
25,"<value>/<value>"
26,"<value>년 <value>월 <value>일"
27,"<value>월 <value>일"
28,"<value>:<value>"
29,"<if( 219 ) { 12} else {<value>}>:<value>"
30,"<value>:<value>:<value>"
31,"<if( 219 ) { 12} else {<value>}>:<value>:<value>"
32,"<value>:<value>:<value>"
33,"<value>:<value>"
34,"<value>:<value>"
35,"Lv<value>"
36,"레벨 <if(INT: 1 ? 0) {+<value>} else {<value>}>"
37,"《<value>》"
38,"<value>.<value>"
39,"조금 전"
40,"<value>분 전"
41,"<value>시간 전"
42,"<value>일 전"
43,"<value>"
44,"<value>분"
45,"<value>시간"
46,"----/--/--"
47,"--/--/--"
48,"--:--"
49,"<value>초"
50,"귓속말"
51,"검색 정보 보기"
52,"검색 정보 편집"
53,"거래 신청"
54,"파티 초대"
55,"파티장으로 임명"
56,"파티에서 추방"
57,"공격"
58,"살펴보기"
59,"차단 목록에 추가"
60,"차단 목록에서 제외"
61,"친구 신청"
62,"친구 신청 취소"
63,"친구 신청 수락"
64,"친구 신청 거절"
65,"친구 목록에서 제외"
66,"보기"
67,"답장하기"
68,"삭제"
69,"아이템 첨부 취소"
70,"따라가기"
71,"링크셸 대화 숨기기"
72,"링크셸 대화 보이기"
73,"링크셸 활성화"
74,"링크셸 해체"
75,"링크셸 가입"
76,"링크셸 가입 거절"
77,"링크셸 탈퇴"
78,"링크셸 마스터로 임명"
79,"링크셸 관리자로 설정"
80,"링크셸 관리자를 해임"
81,"링크셸에서 추방"
82,"링크셸 비활성화"
83,"링크셸 초대"
84,"링크셸 관리자 사퇴"
85,"해제"
86,"탭 분리"
87,"탭 삭제"
88,"건네주기"
89,"장비 해제"
90,"사용"
91,"버리기"
92,"아이템 나누기"
93,"판매하기"
94,"편지에 첨부하기"
95,"거래하기"
96,"장비하기"
97,"집사에게 맡기기"
98,"집사에게서 받기"
99,"장터에 출품하기"
100,"복사"
101,"붙여넣기"
102,"잘라내기"
103,"실행"
104,"삭제"
105,"실행 취소"
106,"다시 하기"
107,"장비 수리"
108,"참가 중인 임무 및 파티에서 나가시겠습니까?"
109,"참가 중인 임무를 포기하시겠습니까?"
110,"<color #FF8080><ref:Item>×<value>개를 버리시겠습니까?</color>"
111,"전투불능 상태가 되었습니다.<br>귀환 지점으로 돌아가시겠습니까?<br>귀환 지점: <ref:PlaceName>"
112,"부활하시겠습니까?"
113,"<value> 님에게서<br>'어레이즈'를 받으시겠습니까?"
114,"장비세트 <value> <value><?0xe><br>변경하시겠습니까?"
115,"타이틀 화면으로 돌아가시겠습니까?"
116,"게임을 종료하시겠습니까?"
117,"귀환하시겠습니까?"
118,"<value><br>시작 지점으로 돌아가시겠습니까?"
119,"<value><br>시작 지점으로 돌아갑니다."
120,"<value> 님의 파티에 참가하시겠습니까?"
121,"<value> 님의 파티 초대를 거절하시겠습니까?"
122,"파티에서 탈퇴하시겠습니까?"
123,"파티를 해체하시겠습니까?"
124,"<value> 님을 차단 목록에 추가하시겠습니까?"
125,"<value> 님을 차단 목록에서 제외하시겠습니까?"
126,"<value> 님을 친구 신청을 수락하시겠습니까?"
127,"<value> 님의 친구 신청을 거절하시겠습니까?"
128,"<value> 님에게 보낸 친구 신청을 취소하시겠습니까?"
129,"<value> 님을 친구 목록에서 제외하시겠습니까? (상대방의 친구 목록에는 남습니다)"
130,"<value> 님에게 편지를 보내시겠습니까?"
131,"<value> 님이 친구로 등록되어 있지 않아 편지를 보낼 수 없습니다."
132,"편지를 삭제하시겠습니까?"
133,"편지를 보낼 친구를 선택하십시오. 편지는 친구 목록에 등록된 플레이어에게만 보낼 수 있습니다."
134,"링크셸 <value>에 가입하시겠습니까?"
135,"링크셸 <value>에서 받은 초대를 거절하시겠습니까?"
136,"링크셸 <value>에서 탈퇴하시겠습니까?"
137,"링크셸 <value><?0xd> 해체합니다. 해체한 링크셸은 복구할 수 없습니다. 계속하시겠습니까?"
138,"예, 이 링크셸을 해체하겠습니다."
139,"<value> 님을 링크셸에서 추방하시겠습니까?"
140,"<value> 님을 링크셸 관리자로 설정하시겠습니까?"
141,"<value> 님을 링크셸 관리자에서 해임하시겠습니까?"
142,"<value> 님을 새 링크셸 마스터로 임명하고 모든 권한을 양도합니다. 계속하시겠습니까?"
143,"예, 모든 권한을 양도하겠습니다."
144,""
145,"임무 대기 시간"
146,"<ref:InstanceContent>"
147,"의뢰 수주권 획득"
148,"  <value>시간 <value>분 후  <value><value>/<value> <value>:<value><value>"
149,"<value> 님에게 친구 신청을 하시겠습니까?"
150,""
151,"이 아이템은 소장품입니다. 정말 사용하시겠습니까?"
152,"소장품을 버립니다."
153,"<color #FF8080><if(INT: 3 ? 1 ) {소장 가치 <value>의 } else {}><ref:Item><?0xd> 버립니다.<br>계속하시겠습니까?</color>"
154,"품질 하향"
155,"<ref:Item><if(INT: 4 ? 1 ) {×<value>개} else {}>의 품질을 낮추어 다음 아이템으로 변환합니다. 계속하시겠습니까?"
156,"소장 가치 <value>인 <ref:Item>의 품질을 낮추어 다음 아이템으로 변환합니다. 계속하시겠습니까?"
157,"소장품 품질 하향"
158,"HQ품 품질 하향"
159,"아이템 이름 복사"
160,"<ref:GatheringPointName>"
165,"<value> 님을 파티에서 추방하시겠습니까?"
166,"<value> 님에게서 <ref:PlaceName><?0xe> 이동하는 텔레포 초대를 받았습니다."
167,"　<if( 4 ) {<switch:<icon:53>/<icon:54>/<icon:65>/<icon:66>/<icon:67>>} else {<icon:52>}><ref:PlaceName>"
168,"수락"
169,"거절"
170,"파티 초대"
171,"친구 신청"
172,"링크셸 초대"
173,"<value> 님에게 파티장을 위임합니다. 계속하시겠습니까?"
174,"링크셸 <value>:<value>에 초대"
175,"단독"
176,"파티"
177,"소규모 파티"
178,"대규모 파티"
179,"탑승 중"
180,"투사"
181,"마법사"
182,"채집가"
183,"제작자"
184,"잡"
185,""
186,"텔레포"
187,"목적지를 선택하십시오.<br>소지금: <value>"
190,""
191,""
192,""
193,""
194,"<value><br>복귀 지점으로 돌아갑니다."
195,"게임을 종료하시겠습니까?"
196,"귀환하시겠습니까?<br>귀환 지점: <ref:PlaceName>"
198,"<value><br><if( 2 ) { <value>분} else {<value>초}>"
199,"<value> 님에게서 <switch:그리다니아 신시가지/굽은가지 목장/호손 일가의 산장/채석공방/고요한 야영지/가을박 마을><?0xe> 이동하는 텔레포 초대를 받았습니다."
200,"<br><color #FF7B1A><if( 2 ) {<value>분 후에} else {<if(INT: 3 ? 31 ) {1분 안에} else {30초 안에}>}> 실행 가능합니다.</color>"
201,"거래"
202,""
203,"거래 신청"
204,"중지"
205,""
206,"수량을 지정하십시오."
207,"거래 상대와 멀어지면 거래가 취소됩니다"
208,"확인"
209,"<icon:11>아이템 회수"
210,"제작"
211,""
212,"제작 중지"
213,"작업량"
214,"내구도"
215,"상태"
216,"품질"
217,"HQ 확률"
218,"제작 공정"
219,"/"
220,"간이 제작"
221,""
222,"제작 중지"
223,"성공 횟수"
224,"실패 횟수"
225,"/"
226,"보통"
227,"고품질"
228,"최고품질"
229,"저품질"
230,"캐릭터"
231,""
232,"HP"
233,"MP"
234,"TP"
235,"기본 능력치"
236,"힘"
237,"체력"
238,"민첩성"
239,"지능"
240,"정신력"
241,"신앙심"
242,"속성치"
243,"불"
244,"물"
245,"번개"
246,"바람"
247,"땅"
248,"얼음"
249,""
250,""
251,""
252,""
253,""
254,""
255,"물리"
256,"물리 공격력"
257,"물리 방어력"
258,"물리 명중력"
259,"물리 회피력"
260,"마법"
261,"공격마법 위력"
262,"회복마법 위력"
263,"마법 명중력"
264,"약화마법 위력"
265,"강화마법 위력"
266,"마법 회피력"
267,"주는 피해량"
268,"공격 주기"
269,"방어"
270,"방패 막기 발동력"
271,"방패 막기 효율"
272,"받아넘기기"
273,"제작"
274,"작업 숙련도"
275,"가공 숙련도"
276,"채집"
277,"획득력"
278,"감별력"
279,"마법 방어력"
280,"건너뛰기"
281,"이벤트 영상을 건너뛰시겠습니까?"
282,"<icon:11>삭제  <if(PLYR: 76 ? 1 ) {<icon:12>가상 키보드} else {}>"
283,"여"
284,"남"
285,"물리 기본 성능"
286,"물리 자동 공격"
287,"공격 주기"
288,"마법 기본 성능"
289,"정식판에서는<br>이곳에 캐릭터의<br>3D 아바타가 표시됩니다."
290,"플레이어 간 교류"
291,""
292,"검색 조건 설정"
293,"이름"
294,"클래스/잡"
295,"총사령부"
296,"현재 위치"
297,"자유부대"
298,"언어"
299,"등록된 플레이어가 없습니다."
300,"차단 목록"
301,""
302,"차단 목록에 추가"
303,"이름"
304,"등록된 플레이어가 없습니다."
305,"검색 정보"
306,""
307,"<if( 4 ) {<i><value></i>} else {<value>}>"
308," «<value>»"
309,"<value>(<value>)"
310,"파티원 목록"
311,""
312,"파티 탈퇴"
313,"파티 해체"
314,"이름"
315,"클래스/잡"
316,"총사령부"
317,"현재 위치"
318,"자유부대"
319,"언어"
320,""
321,"파티원이 없습니다."
322,"<icon:9>파티원 순서 변경  <icon:11>세부 메뉴"
323,"<value>.<value>"
324,"<icon:12>이 조건으로 검색"
325,"플레이어 검색 조건"
326,""
327,"이 조건으로 검색"
328,"취소"
329,"조건 초기화"
330,"이름"
331,"성"
332,"플레이어 이름"
333,"현재 상태"
334,"클래스/잡"
335,"레벨"
336,"현재 위치"
337,"총사령부"
338,"언어"
339,"조건에 맞는 플레이어가 없습니다."
340,"확인"
341,"취소"
342,"소개말"
343,"검색 결과는 최대 200명까지 표시됩니다."
344,"사용 가능한 언어를 J(일본어) E(영어) D(독일어) F(프랑스어)로 표시합니다. 밑줄이 그어진 언어로 게임 중입니다."
345,"친구 신청"
346,"새로 고침"
347,"차단 목록에 추가"
348,"친구 신청"
349,"접속 중인 플레이어를 위에 표시"
350,"상점"
351,""
352,"판매 목록"
353,"재매입 목록"
354,"판매 수량을 지정하십시오."
355,"아이템 이름"
356,"구매 수"
357,"가격"
358,"보유 수"
359,"<icon:11>세부 메뉴  <icon:9>구매  <icon:12>판매할 아이템 선택"
360,"요구 아이템"
361,""
362,"건네주기"
363,"취소"
365,"재매입은 최근에 판매한 10건까지만 가능합니다."
366,"10건 이상 판매하면 오래된 것부터 사라집니다."
367,"다른 지역으로 이동하면 모두 삭제됩니다."
368,"<value>"
369,"미확인"
370,"로그창 숨기기"
371,"<color #FF7B1A></color><value>"
372,"매크로 편집"
373,"무엇을 하시겠습니까?"
374,"취소"
376,"<color #66D2FF></color>"
377,"<color #FF2804></color>"
379,"잡 지침서: <ref:ClassJob>"
380,"판매 의뢰 아이템 재매입"
381,""
382,"최근에 판매한 순서대로 20건까지 재매입할 수 있습니다."
383,"20건 이상 판매하면 오래된 것부터 사라집니다."
384,"집사를 돌려보내면 목록에서 삭제됩니다."
385,"재매입 가능한 아이템이 없습니다."
390,"선입찰"
391,"입찰"
392,"포기"
393,"고유 아이템"
394,"초"
395,"보물상자"
397,"마테리아가 장착된 아이템입니다. 판매하시겠습니까?"
398,"결속도가 100%인 아이템입니다. 판매하시겠습니까?"
399,"고유 및 거래 불가 아이템입니다. 판매하시겠습니까?"
400,"매크로"
401,""
402,"명령어 목록"
403,"사전"
404,"매크로 이름"
405,"매크로 #"
406,"매크로 아이콘 선택"
407,""
408,"<icon:11>세부 메뉴 <icon:12>명령어 목록 보기"
410,"링크셸"
411,""
412,"목록"
413,"이름"
414,"클래스/잡"
415,"총사령부"
416,"현재 위치"
417,"자유부대"
418,"언어"
419,"접속 중: <value>"
420,"모그레터"
421,""
422,"안 읽음"
423,"받은 편지"
424,"편지 쓰기"
425,"보낼 금액을 지정하십시오."
426,"<value> / "
427,"<icon:11>세부 메뉴  <icon:12>새 편지 쓰기"
428,"안 읽은 편지가 없습니다."
429,"읽은 편지가 없습니다."
430,"모두 획득"
431,"삭제"
432,""
433,"답장"
434,"받는 이"
435,"<icon:11>세부 메뉴"
436,"<icon:9><icon:11>세부 메뉴  <icon:10>돌아가기"
437,"시스템 관련 편지 수입니다. 최대 10통까지 보관할 수 있습니다."
438,"상품 및 선물 관련 편지 수입니다. 최대 20통까지 보관할 수 있습니다."
439,"친구가 보낸 편지에 첨부된 아이템 수입니다. 최대 20칸 분량의 아이템을 보관할 수 있습니다."
440,"편지 쓰기"
441,""
442,"편집"
443,"보내기"
444,""
445,"본문"
446,"<?0x2e>"
447,"작성 중인 편지를 삭제합니다. 첨부한 아이템은 회수되지만 본문은 사라집니다. 계속하시겠습니까?"
448,"<icon:9>첨부할 아이템 선택"
449,"<icon:11>할 일 목록에 우선 표시/표시 끄기  <icon:25>상세 정보 스크롤"
450,"퀘스트"
451,""
452,"진행 중인 임무"
453,"완료 목록"
454,"퀘스트"
455,"의뢰"
456,"의뢰 수주권"
457,"의뢰 수행 이력"
458,"/"
459,"받은 퀘스트가 없습니다."
460,"수락"
461,"취소"
462,"할 일"
463,"보상"
464,"레벨"
465,"선택 보상: 1개 선택"
466,"이력"
467,"지도 표시"
468,"재도전"
469,"포기"
470,"시작"
471,"추가 보상"
472,"완료"
473,"<if(INT: 2 == 2 ) {퀘스트 '<value>'<?0xd>} else {의뢰 '<value>'<?0xd>}> 포기하시겠습니까?"
474,"퀘스트"
475,"의뢰"
476,"진행 이력"
477,"완료한 임무가 없습니다."
478,"의뢰 수주권 <value>장을 사용하여 실패한 의뢰에 재도전할 수 있습니다. 재도전하시겠습니까?"
479,"다음 조건을 만족하지 못하여<br>퀘스트를 받으실 수 없습니다."
480,"이력"
481,"마테리아"
482,"<value>%"
483,"<value>%"
484,"매입가: <value> <if( 3 ) {} else { 장터 출품 불가}>"
485,"감별력"
486,"조작력"
487,"획득력"
488,"방패 막기 성능"
489,"방패 막기 발동력"
490,"더 보기: Ctrl+Alt"
491,"마테리아"
492,"추가 능력치"
493,"HQ"
494,"고유"
495,"거래 불가"
496,"귀속"
497,"제작 및 수리"
498,"내구도"
499,"결속도"
500,"수리 레벨"
501,"장착 가능한 장비"
502,"마테리아화 가능"
503,"판매 불가 <if( 2 ) {} else { 장터 출품 불가}>"
504,"<if( 4 ) {<color #F9E846><i>} else {}>(<if( 2 ) {+<value>} else {<value>}>)<if( 4 ) {</i></color>} else {}>"
505,"<if( 4 ) {<color #F9E846><i><if( 2 ) {+<value>} else {<value>}></i></color>} else {<if( 2 ) {+<value>} else {<value>}>}>"
506,""
507,"권장 레벨: <value> 이상"
508,"레벨 <value> 이상"
509,"공격 주기"
510,"피해량"
511,"초당 피해량"
512,"<if( 5 ) {<color #F9E846><i><ref:BaseParam> +<value><if( 6 ) {%} else {}></i></color>} else {<ref:BaseParam> +<value><if( 6 ) {%} else {}>}>"
513,"<if( 3 ) {<color #F9E846><i><ref:Item></i></color>} else {<ref:Item>}>"
514,"<value> 레벨 <value> 이상"
515,"<ref:Item><br><value>길"
516,"판매"
517,"마테리아화 불가"
518,"수리 재료"
519,"[<value>]"
520,"소지품"
521,""
522,"(<if( 2 ) { +<value> } else {<value>}>)"
523,""
524,"크리스탈"
525,"난이도 변경"
526,"중지"
527,"<if( 5 ) {<color #F9E846><i><ref:BaseParam><if( 3 ) { +<value> } else {<value>}></i></color>} else {<ref:BaseParam><if( 3 ) { +<value> } else {<value>}>}>"
528,"소지품"
529,""
530,"판매"
531,"거래"
532,"집사"
533,"몇 개씩 나누시겠습니까?"
534,"<value>/<value>"
535,"<ref:BaseParam><if( 3 ) { +<value> } else {<value>}>"
536,"임무용 아이템"
537,""
538,"장비"
539,"장비함 열기"
540,"고유 및 거래 불가 아이템을 판매합니다."
541,"고유 및 거래 불가 아이템을 버립니다."
542,"아이템 레벨 <value> 이상"
543,"개요"
544,"임무용 아이템"
545,""
546,"<icon:11>세부 메뉴"
547,"<icon:11>세부 메뉴  <icon:10>돌아가기"
548,"장터"
549,"편지"
550,"HUD 배열"
551,""
552,"저장"
553,"전체 초기화"
554,"선택한 창"
555,"모두 표시"
556,"표시"
557,"전투 시 반투명 표시"
558,"비활성화 시 반투명 표시"
559,"기본 투명도"
560,"반투명 표시 투명도"
561,"표시 크기"
562,"현재 선택한 번호의 HUD 배열 설정을 초기화하시겠습니까?"
563,"제6성력의 기억"
564,"되살아나는 고대의 무기"
565,"<if( 3 ) {<color #F9E846><i><value></i></color>} else {<value>}>"
566,"<if( 3 ) {<color #F9E846><i><value></i></color>} else {<value>}>"
567,"되살아나는 고대의 무기  <switch:한손검/격투 무기/양손도끼/양손창/활/환술용 양손도구/주술용 양손도구>  <value>단계"
568,"(보유 수 <value><if(INT: 4 ? 1 ) {/ <value>} else {}>)"
569,"<value>/<value> (보유 수 <value><if(INT: 6 ? 1 ) {/ <value>} else {}>)"
570,"의뢰 이력"
571,""
572,"받은 의뢰 확인"
573,"취소"
574,"길드 의뢰"
575,"하우징 아이템을 버립니다."
576,"예"
577,"아니요"
578,"?"
579,"총사령부 의뢰 발행"
580,"결정"
581,"취소"
582,"난이도"
583,"[주의]"
584,"권장 레벨에 맞지 않거나 도중에 클래스를 변경하여 진행하면 달성 시 획득 경험치가 줄어들 수 있습니다."
585,"레벨 +<value>"
586,"멀리 떨어진 파티원이 있어서 시작할 수 없습니다."
587,"의뢰 수주권이 없습니다. <if( 2 ) {<value>시간 } else {}><value>분 후에 추가로 지급됩니다."
588,"한 번에 받을 수 있는 의뢰 수가 가득 차서 의뢰를 더 받을 수 없습니다."
589,"길드 의뢰"
590,"의뢰"
591,""
592,"의뢰 이력"
593,"퀘스트"
594,"용병업"
595,"채집업"
596,"제작업"
597,"소속"
598,"의뢰"
599,"의뢰 수주권"
600,"레벨"
601,"/"
602,"권장 레벨: <value> 이상"
603,"제한시간 <value>분"
604,"받을 수 있는 의뢰가 없습니다."
605,"받을 수 있는 모든 의뢰를 받았습니다."
606,"권장 레벨에 맞지 않아 임무 달성 시 획득 경험치가 감소합니다. 그래도 의뢰를 받으시겠습니까?"
607,"중지하면 수행 중인 임무는 실패하게 됩니다.<br>임무를 중지하시겠습니까?"
608,"귀환 지점이 <value><?0xd> 아닙니다. 임무 중에 귀환 지점으로 돌아가면 임무에 실패하게 됩니다. 의뢰를 시작하시겠습니까?"
609,"작전 지역: <ref:PlaceName>"
610,"채집수첩"
611,""
612,"분류"
613,"레벨"
614,"항목이 없습니다."
615,"<icon:13><icon:14>클래스 변경"
616,"★"
617,"???"
618,"보유 수"
619,"<value>/<value>/<value>"
620,"채집"
621,""
622,"없음"
623," →"
624,"미확인"
625,"%"
626,"미지의 자원"
627,"숨은 자원"
628,"한정된 자원"
629,"숨은 자원"
630,"채집수첩(<value>)"
631,"로그 필터"
632,"선택 가능한 세부 명령어가 없습니다."
633,"주시 대상으로 지정"
634,"돌려보내기"
635,"감정 표현"
636,"표식 지정"
637,"내리기"
638,"공격 해제"
639,"돌려보내기"
640,"회수하기"
642,"임무용 아이템 사용"
643,"제작 종료"
644,"돌려보내기"
645,"외치기"
646,"자유부대"
647,"떠들기"
648,"연합 파티"
649,"<color?>완료됨</color>"
650,"신전기사단 의뢰 발행"
651,"초보자"
652,"귓속말"
653,"말하기"
654,"파티"
655,"링크셸<value>: <value>"
656,"로그 <value>"
657,"탭 이름을 입력하세요."
658,"삭제하시겠습니까?"
659,"탭 이름 변경"
662,"일반"
663,"전투"
664,"이름"
665,"이벤트"
666,"<value> 님에게 귓속말"
669,"<if( 2 ) {<switch: / / / >} else {}>"
670,""
671,"지도"
672,"X:"
673,"Y:"
674,"<value><br><value>"
675,">"
676,"--"
677,"<value> <if( 2 ) {<switch:<icon:76>/<icon:75>>} else {}>"
679,"<icon:11>단축바에 등록 <icon:9>실행"
680,"기술 목록"
681,""
682,"<if( 4 ) {<i><icon:63>레벨 <value></i>} else {레벨 <value>}>"
683,"기술"
684,"잡 전용"
685,"특성"
686,"보조 기술"
687,"일반"
688,"보조 기술"
689,"<ref:ActStr><br><if( 3 ) {레벨 <value>} else {}>"
690,"<ref:ActStr><br><if( 3 ) {레벨 <value> } else {}> HP: <value>"
691,"<ref:ActStr><br><if( 3 ) {레벨 <value> } else {}> MP: <value>"
692,"<ref:ActStr><br><if( 3 ) {레벨 <value> } else {}> 모든 MP"
693,"<ref:ActStr><br><if( 3 ) {레벨 <value> } else {}> TP: <value>"
694,"<ref:ActStr><br><if( 3 ) {레벨 <value> } else {}> 모든 TP"
695,"<ref:ActStr><br><if( 3 ) {레벨 <value> } else {}> GP: <value>"
696,"<ref:ActStr><br><if( 3 ) {레벨 <value> } else {}> CP: <value>"
697,"<ref:ActStr><br><if( 3 ) {레벨 <value> } else {}> MP: <value>  TP: <value>"
698,"<ref:ClassJob>"
699,"즉시 발동"
700,"더 보기: Ctrl+Alt"
701,"시전 시간"
702,"재사용"
703,"재사용"
704,"소비 HP"
705,"소비 MP"
706,"소비 TP"
707,"소비 CP"
708,"소비 GP"
709,"거리"
710,"범위"
711,"습득"
712,"사용 적성"
713,"<value>m"
714,"<value>초"
715,"<value>회"
716,"레벨 <value>"
717," (<value>)"
718,"<ref:ClassJobCategory>"
719,"저항"
720,"경험치"
721,"적개심"
722,"플래시"
723,"빗나감"
724,"MP"
725,"TP"
726,"회피"
727,"(<value>% 저항)"
728,"(<value>% 방패 막기)"
729,"(<value>% 받아넘기기)"
730,"(+<value>%)"
731,"무효"
732,"계급"
733,"소속 자유부대"
734,"출신국"
735,"여"
736,"남"
