Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x19][0x1b],3 [0x4][0x12],4 [0x4][0x14],5 [0x3][0x16],6 [0x5][0xc],7 [0x5][0xe],8 [0x5][0x10],9 [0x3][0x17],10 [0x3][0x19],11 [0x3][0x18],12 [0x3][0x1a],13 [0x7][0x8]
0,"구름바다 1","구름바다 1",false,371,831,1,1,180,13,0,0,0,0,10610
1,"구름바다 2","구름바다 2",false,615,800,1,1,180,13,0,0,0,0,10610
2,"구름바다 3","구름바다 3",false,156,800,4,1,180,13,0,0,0,0,27840
3,"구름바다 4","구름바다 4",false,787,834,7,1,180,13,0,0,0,0,46660
4,"구름바다 5","구름바다 5",false,492,720,10,2,360,13,0,0,0,0,75920
5,"구름바다 6","구름바다 6",false,334,653,14,2,360,13,0,0,0,0,102600
6,"구름바다 7","구름바다 7",false,587,645,17,2,360,13,0,0,0,0,118350
7,"구름바다 8","구름바다 8",false,516,544,20,3,540,13,0,0,0,0,146210
8,"구름바다 9","구름바다 9",false,380,493,24,3,540,13,0,0,0,0,174980
9,"구름바다 10","구름바다 10",false,721,629,27,3,540,13,0,0,0,0,200430
10,"구름바다 11","구름바다 11",false,185,567,30,4,720,13,0,0,0,0,231750
11,"구름바다 12","구름바다 12",false,906,642,34,4,720,13,0,0,0,0,263530
12,"구름바다 13","구름바다 13",false,202,434,37,4,720,13,0,0,0,0,292170
13,"구름바다 14","구름바다 14",false,77,689,40,5,900,13,0,0,0,0,338330
14,"구름바다 15","구름바다 15",false,103,348,44,5,900,13,0,0,0,0,374020
15,"구름바다 16","구름바다 16",false,886,445,47,5,900,13,0,0,0,0,406590
16,"구름바다 17","구름바다 17",false,721,335,50,6,1440,13,0,90,0,0,0
17,"구름바다 18","구름바다 18",false,540,371,50,6,1440,13,0,90,0,0,0
18,"구름바다 19","구름바다 19",false,248,234,50,6,1440,13,0,90,0,0,0
19,"구름바다 20","구름바다 20",false,421,141,50,6,1440,13,0,90,0,0,0
20,"구름바다 21","구름바다 21",false,556,208,50,6,1440,13,0,90,0,0,0
21,"구름바다 22","구름바다 22",false,663,105,50,6,1440,13,0,90,0,0,0
22,"디아뎀 제도(어려움)행 항로","디아뎀 제도(어려움)행 항로",true,0,0,50,1,20,1,0,90,0,0,0
23,"구름바다 23","구름바다 23",false,130,120,50,6,1440,13,0,90,0,0,0
24,"구름바다 24","구름바다 24",false,390,380,50,6,1440,13,0,90,0,0,0
25,"","",false,0,0,0,0,0,0,0,0,0,0,0
127,"","",false,483,927,0,0,0,0,0,0,0,0,0
128,"","",false,0,0,0,0,0,0,0,0,0,0,0
