Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8],9 [0x6][0x14],10 [0x6][0x18],11 [0x6][0x1c],12 [0x3][0x26],13 [0x5][0x20],14 [0x5][0x22],15 [0x5][0x24]
0,"가죽 안장",0,"",0,0,1,0,0,"가죽 안장",0,0,0,0,0,0,0
1,"림사 로민사 안장",0,"",0,0,1,0,0,"림사 로민사 안장",65538,65541,65538,1,49049,49053,49051
2,"림사 로민사 경갑주",0,"",0,0,1,0,0,"림사 로민사 경갑주",65542,65542,65542,1,49001,49002,49003
3,"림사 로민사 갑주",0,"",0,0,1,0,0,"림사 로민사 갑주",131078,131078,131078,1,49004,49005,49006
4,"림사 로민사 문장갑주",0,"",0,0,1,0,0,"림사 로민사 문장갑주",196614,196614,196614,1,49007,49008,49009
5,"그리다니아 안장",0,"",0,0,1,0,0,"그리다니아 안장",65538,131077,65538,2,49049,49056,49051
6,"그리다니아 경갑주",0,"",0,0,1,0,0,"그리다니아 경갑주",65543,65543,65543,2,49010,49011,49012
7,"그리다니아 갑주",0,"",0,0,1,0,0,"그리다니아 갑주",131079,131079,131079,2,49013,49014,49015
8,"그리다니아 문장갑주",0,"",0,0,1,0,0,"그리다니아 문장갑주",196615,196615,196615,2,49016,49017,49018
9,"울다하 안장",0,"",0,0,1,0,0,"울다하 안장",65538,196613,65538,3,49049,49059,49051
10,"울다하 경갑주",0,"",0,0,1,0,0,"울다하 경갑주",65544,65544,65544,3,49019,49020,49021
11,"울다하 갑주",0,"",0,0,1,0,0,"울다하 갑주",131080,131080,131080,3,49022,49023,49024
12,"울다하 문장갑주",0,"",0,0,1,0,0,"울다하 문장갑주",196616,196616,196616,3,49025,49026,49027
13,"성기사 갑주",0,"",0,0,1,0,0,"성기사 갑주",65546,65546,65546,0,49028,49029,49030
14,"용기사 갑주",0,"",0,0,1,0,0,"용기사 갑주",65547,65547,65547,0,49031,49032,49033
15,"백마도사 갑주",0,"",0,0,1,0,0,"백마도사 갑주",65549,65549,65549,0,49034,49035,49036
16,"슬레이프니르 갑주",0,"",0,0,1,0,0,"슬레이프니르 갑주",65550,65550,65550,0,49037,49038,49039
17,"베히모스 갑주",0,"",0,0,1,0,0,"베히모스 갑주",65551,65551,65551,0,49040,49041,49042
18,"비행대 갑주",0,"",0,0,1,0,0,"비행대 갑주",65555,0,0,0,49043,0,0
19,"흑마도사 갑주",0,"",0,0,1,0,0,"흑마도사 갑주",65548,65548,65548,0,49046,49047,49048
20,"초코대왕 갑주",0,"",0,0,1,0,0,"초코대왕 갑주",65553,0,0,0,49061,0,0
21,"별빛축제 갑주",0,"",0,0,1,0,0,"별빛축제 갑주",65540,65540,65540,0,49064,49065,49066
22,"리바이어선 갑주",0,"",0,0,1,0,0,"리바이어선 갑주",65556,65556,65556,0,49067,49068,49069
23,"빛의 갑주",0,"",0,0,1,0,0,"빛의 갑주",65557,65557,65557,0,49070,49071,49072
24,"달걀 갑주",0,"",0,0,1,0,0,"달걀 갑주",65558,0,0,0,49073,0,0
25,"라무 갑주",0,"",0,0,1,0,0,"라무 갑주",65560,65560,65560,0,49076,49077,49078
26,"깃털장식 갑주",0,"",0,0,1,0,0,"깃털장식 갑주",65559,0,0,0,49079,0,0
27,"마녀 갑주",0,"",0,0,1,0,0,"마녀 갑주",65561,65561,65561,0,49082,49083,49084
28,"시바 갑주",0,"",0,0,1,0,0,"시바 갑주",65562,65562,65562,0,49085,49086,49087
29,"도박사 갑주",0,"",0,0,1,0,0,"도박사 갑주",65565,65565,65565,0,49091,49092,49093
30,"연인의 갑주",0,"",0,0,1,0,0,"연인의 갑주",65566,65566,65566,0,49088,49089,49090
31,"이슈가르드 경갑주",0,"",0,0,1,0,0,"이슈가르드 경갑주",65567,65567,65567,0,49094,49095,49096
32,"이슈가르드 갑주",0,"",0,0,1,0,0,"이슈가르드 갑주",131103,131103,131103,0,49097,49098,49099
33,"",0,"",0,0,0,0,0,"",0,0,0,0,0,0,0
34,"비스마르크 갑주",0,"",0,0,1,0,0,"비스마르크 갑주",65568,65568,65568,0,49103,49104,49105
35,"라바나 갑주",0,"",0,0,1,0,0,"라바나 갑주",65569,65569,65569,0,49106,49107,49108
36,"귀족의 갑주",0,"",0,0,1,0,0,"귀족의 갑주",65570,65570,65570,0,49109,49110,49111
37,"정교도 갑주",0,"",0,0,1,0,0,"정교도 갑주",131106,131106,131106,0,49112,49113,49114
38,"고원 갑주",0,"",0,0,1,0,0,"고원 갑주",65571,65571,65571,0,49115,49116,49117
39,"들장미 갑주",0,"",0,0,1,0,0,"들장미 갑주",65573,65573,65573,0,49118,49119,49120
40,"기사신 갑주",0,"",0,0,1,0,0,"기사신 갑주",65574,65574,65574,0,49121,49122,49123
41,"세피로트 갑주",0,"",0,0,1,0,0,"세피로트 갑주",65572,65572,65572,0,49124,49126,49125
42,"알 사냥 갑주",0,"",0,0,1,0,0,"알 사냥 갑주",65575,65575,65575,0,49127,49129,49128
43,"극동의 갑주",0,"",0,0,1,0,0,"극동의 갑주",65577,65577,65577,0,49130,49132,49131
44,"경주용 갑주",0,"",0,0,1,0,0,"경주용 갑주",65579,65579,65579,0,49133,49135,49134
45,"니드호그 갑주",0,"",0,0,1,0,0,"니드호그 갑주",65578,65578,65578,0,49136,49138,49137
46,"집사 갑주",0,"",0,0,1,0,0,"집사 갑주",65580,65580,65580,0,49139,49141,49140
47,"소피아 갑주",0,"",0,0,1,0,0,"소피아 갑주",65576,65576,65576,0,49142,49144,49143
48,"메이드 갑주",0,"",0,0,1,0,0,"메이드 갑주",65581,65581,65581,0,49145,49147,49146
49,"맨더빌 메이드 갑주",0,"",0,0,1,0,0,"맨더빌 메이드 갑주",131117,131117,131117,0,49148,49150,49149
50,"천사 갑주",0,"",0,0,1,0,0,"천사 갑주",65583,65583,65583,0,49151,49153,49152
51,"악마 갑주",0,"",0,0,1,0,0,"악마 갑주",65584,65584,65584,0,49154,49156,49155
