Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8],3 [0x3][0x50],4 [0x2][0x59],5 [0x2][0x5a],6 [0x3][0x51],7 [0x3][0x52],8 [0x2][0x5b],9 [0x5][0x28],10 [0x5][0x2a],11 [0x5][0x2c],12 [0x5][0x2e],13 [0x5][0x30],14 [0x5][0x32],15 [0x5][0x34],16 [0x5][0x36],17 [0x5][0x38],18 [0x5][0x3a],19 [0x5][0x3c],20 [0x5][0x3e],21 [0x5][0x40],22 [0x5][0x42],23 [0x3][0x53],24 [0x0][0xc],25 [0x6][0x20],26 [0x6][0x24],27 [0x3][0x54],28 [0x3][0x55],29 [0x2][0x5c],30 [0x5][0x44],31 [0x5][0x46],32 [0x5][0x48],33 [0x5][0x4a],34 [0x5][0x4c],35 [0x5][0x4e],36 [0x3][0x56],37 [0x7][0x10],38 [0x7][0x14],39 [0x7][0x18],40 [0x7][0x1c],41 [0x3][0x57],42 [0x3][0x58]
0,"모험가","ADV","모험",30,-1,-1,0,0,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,"Adventurer",0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,1,0
1,"검술사","GLA","검술",30,1,0,1,0,-1,110,50,95,100,90,50,95,80,100,100,100,100,100,100,1,"Gladiator",1601,0,1,3,0,197,198,199,3359,0,0,1,0,0,0,0,1,1
2,"격투사","PGL","격투",30,0,1,2,0,-1,105,35,100,95,100,45,85,60,100,100,100,100,100,100,2,"Pugilist",1680,0,2,3,1,200,201,202,3360,0,0,2,0,0,0,0,1,3
3,"도끼술사","MRD","도끼",30,2,2,3,0,-1,115,30,100,100,90,30,50,40,100,100,100,100,100,100,3,"Marauder",1749,0,1,1,2,197,198,4240,3359,0,0,3,0,0,0,0,1,1
4,"창술사","LNC","창술",30,4,3,4,0,-1,110,40,105,100,95,40,60,70,100,100,100,100,100,100,4,"Lancer",1819,0,2,2,3,200,201,4242,3360,0,0,4,0,0,0,0,1,3
5,"궁술사","ARC","궁술",30,3,4,5,0,-1,100,70,85,95,105,80,75,80,100,100,100,100,100,100,5,"Archer",1889,0,3,2,4,4238,4239,4244,4249,0,0,5,0,0,0,0,1,4
6,"환술사","CNJ","환술",31,6,5,6,0,-1,100,115,50,95,100,100,105,110,100,100,100,100,100,100,6,"Conjurer",1995,0,4,2,5,206,207,208,3362,0,0,7,0,0,0,0,1,2
7,"주술사","THM","주술",31,5,6,7,0,-1,100,120,40,95,95,105,70,115,100,100,100,100,100,100,7,"Thaumaturge",2055,0,3,3,6,203,204,205,3361,0,0,8,0,0,0,0,1,5
8,"목수","CRP","목수",33,7,-1,0,0,0,100,100,90,105,100,90,90,90,100,100,100,100,100,100,8,"Carpenter",0,0,0,0,127,0,0,0,0,0,0,101,10337,0,0,0,1,7
9,"대장장이","BSM","대장",33,8,-1,0,0,1,100,100,105,90,90,90,100,90,100,100,100,100,100,100,9,"Blacksmith",0,0,0,0,127,0,0,0,0,0,0,102,10338,0,0,0,1,7
10,"갑주제작사","ARM","갑주",33,9,-1,0,0,2,100,100,100,105,90,90,90,90,100,100,100,100,100,100,10,"Armorer",0,0,0,0,127,0,0,0,0,0,0,103,10339,0,0,0,1,7
11,"보석공예가","GSM","보석",33,10,-1,0,0,3,100,100,90,90,105,100,90,90,100,100,100,100,100,100,11,"Goldsmith",0,0,0,0,127,0,0,0,0,0,0,104,10340,0,0,0,1,7
12,"가죽공예가","LTW","가죽",33,11,-1,0,0,4,100,100,90,105,90,100,90,90,100,100,100,100,100,100,12,"Leatherworker",0,0,0,0,127,0,0,0,0,0,0,105,10341,0,0,0,1,7
13,"재봉사","WVR","재봉",33,12,-1,0,0,5,100,100,90,90,105,90,100,90,100,100,100,100,100,100,13,"Weaver",0,0,0,0,127,0,0,0,0,0,0,106,10342,0,0,0,1,7
14,"연금술사","ALC","연금",33,13,-1,0,0,6,100,100,90,90,90,105,90,100,100,100,100,100,100,100,14,"Alchemist",0,0,0,0,127,0,0,0,0,0,0,107,10343,0,0,0,1,7
15,"요리사","CUL","요리",33,14,-1,0,0,7,100,100,90,90,90,90,105,100,100,100,100,100,100,100,15,"Culinarian",0,0,0,0,127,0,0,0,0,0,0,108,10344,0,0,0,1,7
