Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0xc],3 [0x3][0x10],4 [0x7][0x8],5 [0x3][0x11],6 [0x19][0x12]
0,"","",0,0,0,0,true
1,"처치 경험치 향상","24시간(현실 시간) 동안 적 처치 시 얻는 경험치가 5% 향상됩니다.",64213,5,3500,1,true
2,"채집 경험치 향상","24시간(현실 시간) 동안 채집 시 얻는 경험치가 5% 향상됩니다.",64215,5,3500,2,true
3,"제작 경험치 향상","24시간(현실 시간) 동안 제작 시 얻는 경험치가 5% 향상됩니다.",64216,5,3500,3,true
4,"버디 경험치 향상","24시간(현실 시간) 동안 버디가 얻는 경험치가 10% 향상됩니다.",64214,5,2800,4,true
5,"명예 점수 향상","24시간(현실 시간) 동안 명예 점수 획득량이 5% 향상됩니다.",64217,5,2800,5,true
6,"군표 증가","24시간(현실 시간) 동안 군표 획득량이 5% 향상됩니다.",64218,5,2800,6,true
7,"초보자 지원","24시간(현실 시간) 동안 레벨 25 이하 전투 클래스의 모든 캐릭터 능력치가 10% 향상됩니다.",64201,5,1750,8,true
8,"획득력 향상","24시간(현실 시간) 동안 채집가의 획득력이 5 향상됩니다.",64202,5,2800,9,true
9,"감별력 향상","24시간(현실 시간) 동안 채집가의 감별력이 5 향상됩니다.",64203,5,2800,10,true
10,"작업 숙련도 향상","24시간(현실 시간) 동안 제작자의 작업 숙련도가 5 향상됩니다.",64204,5,2800,11,true
11,"가공 숙련도 향상","24시간(현실 시간) 동안 제작자의 가공 숙련도가 5 향상됩니다.",64205,5,2800,12,true
12,"결속도 증가량 향상","24시간(현실 시간) 동안 결속도가 더 잘 오릅니다.",64209,5,3500,13,true
13,"식사 지속시간 연장","24시간(현실 시간) 동안 식사 효과 지속시간이 5분 연장됩니다.",64208,5,2800,14,true
14,"장비 소모 절감","24시간(현실 시간) 동안 장비 내구도 감소 속도가 10% 느려집니다.",64210,5,3500,15,true
15,"쇠약 시간 단축","24시간(현실 시간) 동안 쇠약 상태 지속시간이 10% 단축됩니다.",64211,5,2800,16,true
16,"텔레포 할인","24시간(현실 시간) 동안 텔레포 비용이 20% 할인됩니다.",64212,5,3500,17,true
17,"MGP 증가","24시간(현실 시간) 동안 맨더빌 골드 소서 포인트 획득량이 5% 증가합니다.",64219,5,2800,7,true
18,"","",0,0,0,0,false
