Index,0 [0x0][0x0],1 [0x3][0x14],2 [0x6][0x8],3 [0x3][0x15],4 [0x6][0xc],5 [0x3][0x16],6 [0x6][0x10],7 [0x3][0x17],8 [0x7][0x4]
0,"비공정 설계도: 제2집",1,12923,6,0,0,0,0,1
1,"비공정 설계도: 제3집",1,12924,10,12923,4,0,0,2
2,"비공정 설계도: 제4집",1,12925,10,12923,4,0,0,3
3,"비공정 설계도: 제5집",1,12926,14,12924,4,0,0,4
4,"비공정 설계도: 제6집",1,12927,14,12925,4,12923,4,5
5,"건물 설계도: 식료품 상점",2,12920,10,0,0,0,0,1
6,"건물 설계도: 방어구 상점",2,12921,10,0,0,0,0,2
7,"건물 설계도: 무기 상점",2,12922,9,12921,8,0,0,3
8,"에테르석 설계도: 제2집",0,12928,6,0,0,0,0,1
9,"에테르석 설계도: 제3집",0,12928,6,0,0,0,0,2
10,"에테르석 설계도: 제4집",0,12928,6,0,0,0,0,3
11,"에테르석 설계도: 제5집",0,12929,4,12922,2,0,0,4
12,"에테르석 설계도: 제6집",0,12929,4,12922,2,0,0,5
13,"에테르석 설계도: 제7집",0,12929,4,12922,2,0,0,6
14,"에테르 충전대 설계도: 제2집",0,12929,6,12922,3,12920,8,7
15,"건물 설계도: 모그모그 집",2,12922,11,12921,10,12923,8,4
16,"에테르 충전대 설계도: 제3집",0,12929,8,12922,5,12920,10,8
17,"비공정 설계도: 제7집",1,12927,18,12926,8,12925,8,6
18,"에테르 충전대 설계도: 제4집",0,12929,10,12922,7,12920,12,9
19,"에테르 충전대 설계도: 제5집",0,12929,12,12922,9,12920,14,10
20,"건물 설계도: 초코보 집",2,12922,14,12921,12,12923,10,5
