Index,0 [0x7][0xc],1 [0x0][0x8],2 [0x0][0x0],3 [0x0][0x4]
100,1,"@","【언어】","언어."
101,1,"","상용구 사전을 사용해주세요.","-"
102,1,"","일본어","-"
103,1,"","영어","-"
104,1,"","프랑스어","-"
105,1,"","독일어","-"
106,1,"","일본어로 대화해도 될까요?","-"
107,1,"","영어로 대화해도 될까요?","-"
108,1,"","프랑스어로 대화해도 될까요?","-"
109,1,"","독일어로 대화해도 될까요?","-"
110,1,"","저는 영어를 못합니다.","-"
111,1,"","저는 일본어를 못합니다.","-"
112,1,"","저는 프랑스어를 못합니다.","-"
113,1,"","저는 독일어를 못합니다.","-"
114,1,"","제 말을 들어주세요.","-"
115,1,"","들리십니까?","-"
116,1,"","간단한 의사소통은 가능합니다.","-"
117,1,"","조금은 이해할 수 있습니다.","-"
118,1,"","쉬운 단어로 말씀해주세요.","-"
119,1,"","줄임말은 사용하지 말아주세요.","-"
120,1,"","곧 대답하겠습니다, 잠시만 기다려주세요.","-"
121,1,"","모국어는 무엇입니까?","-"
200,2,"@","【인사】","인사."
201,2,"","처음 뵙겠습니다.","-"
202,2,"","좋은 아침입니다!","-"
203,2,"","안녕하세요.","-"
204,2,"","오늘 하루 어떠셨나요?","-"
205,2,"","안녕히 주무세요.","-"
206,2,"","좋은 하루 보내세요.","-"
207,2,"","재미있었어요.","-"
208,2,"","또 만나요!","-"
209,2,"","또 같이 놀아요.","-"
210,2,"","다녀왔습니다.","-"
211,2,"","어서 오세요.","-"
212,2,"","축하합니다!","-"
213,2,"","잘하셨어요!","-"
214,2,"","힘 내세요!","-"
215,2,"","야호!","-"
216,2,"","감사합니다.","-"
217,2,"","별말씀을요.","-"
218,2,"","조심하세요.","-"
219,2,"","죄송합니다.","-"
220,2,"","용서해주세요.","-"
221,2,"","아쉽네요.","-"
222,2,"","잠깐만요.","-"
223,2,"","즐거운 모험 하시길!","-"
224,2,"","여기는 처음 옵니다.","-"
225,2,"","기대되네요!","-"
226,2,"","수고하셨습니다.","-"
227,2,"","잘 부탁합니다!","-"
228,2,"","이만 가봐야겠어요. 실례하겠습니다.","-"
229,2,"","편하게 합시다!","-"
230,2,"","열심히 하겠습니다!","-"
300,3,"@","【질문】","질문."
301,3,"","누구세요?","-"
302,3,"","어느 쪽인가요?","-"
303,3,"","어떻게 할까요?","-"
304,3,"","뭐예요?","-"
305,3,"","언제인가요?","-"
306,3,"","얼마나요?","-"
307,3,"","어디인가요?","-"
308,3,"","왜 그러세요?","-"
309,3,"","이유를 말씀해주세요.","-"
310,3,"","어디 가세요?","-"
311,3,"","가능하신가요?","-"
312,3,"","도와드릴까요?","-"
313,3,"","어떤 임무를 할까요?","-"
314,3,"","어떤 임무가 가능하세요?","-"
315,3,"","가지고 계신가요?","-"
316,3,"","지금 어떤 무기를 가지고 계신가요?","-"
