Index,0 [0x0][0x0]
0,""
1,"밀렵꾼이나 산림 방화범 등의 중죄인을 수감하기 위해 이용되었던 감옥. 천 개의 입을 가진 전설 속 마물의 이름을 따 '토토라크'라는 별명으로 불린 한 간수가, 수감자들에게 가혹한 고문과 처벌을 가했다고 전해진다.<br>악명 높은 이 감옥이 폐쇄된 것은 30여 년 전의 일이다. 비인도적이라는 이유로 당시의 환술황이 폐쇄를 명한 이후로, 관리하는 사람조차 없어진 지하 감옥은 마물들이 활개 치는 폐허가 되고 말았는데……."
2,"지하도시 '겔모라' 시대에 만들어진 지하 묘지. 삼림도시 '그리다니아'가 건국된 이후에도 시신을 매장하는 장소로 꾸준히 이용되었다.<br>그러나 경건해야 할 묘소에 수상한 자들이 모여들고 있었다……. 그들의 정체는 재해 때 낙하한 달의 위성 '달라가브'를 구세신으로 숭배하는 사교 집단 '마지막 백성'의 잔당이었다. 위험한 종말 사상을 가진 그들은 구세신의 강림을 저지한 자들에게 복수하기 위해, 묘소에 잠든 시신을 제물로 바쳐 사악한 요마를 소환하려 하고 있었다."
3,"광맥이 고갈되어 300년 전에 버려진 광산. 이곳의 채굴권을 얻은 '아마지나 광산회사'는 최신 기술을 이용하여 광산 재개발에 착수했다.<br>그런데 최하층에 있는 암반을 폭파하자, 난데없이 그 안에서 거인족이 나타나 광부들을 습격했다. 이들의 정체는 손 왕조 울다하 시대에 노예 종족으로 핍박받다 반란을 일으킨 죄로 지하에 갇힌 '헤카톤케이레스족'이었다. 자유와 복수를 꿈꾸며 날뛰는 거인족을 진압하라."
4,"맥주 항구 근해의 환영 제도 부근에서 수상한 선박이 목격되었다. 보고를 받은 경비대 '노란셔츠'는 사하긴족과 협력 관계인 해적단 '바다뱀의 혀'의 활동에 촉각을 곤두세우며, 목격 지점과 가까운 해골 골짜기 연안 어딘가에 그들의 근거지가 만들어졌을 것으로 의심하고 있었다.<br>그러던 중, 수상한 자들이 '사스타샤 침식 동굴'이라는 곳에 드나든다는 정보를 계기로 상황은 달라지기 시작한다."
5,"황금빛 늪에서 금 가루를 뿌린 듯한 아름다운 안개가 피어오르는 경치 좋은 땅. 그러나 이 안개는 유황과 미스릴 광석이 지하수와 반응하여 생성된 맹독성 물질이다.<br>어떤 이는 그 광경에 매료되어, 어떤 이는 금맥을 찾아, 또 어떤 이는 죽은 자들의 유품을 줍기 위해 이 아름다운 동굴에 도전한다. 그러나 동굴에서 나오는 사람의 수는 들어간 수에 비하면 너무나도 적다."
6,"역대 환술황들의 거처로 이용되었으나, 개혁자로 알려진 선선대 환술황이 사치스럽다는 이유로 처분한 옛 별궁. 이 저택을 사들인 것은 어느 이름난 숲 부족 가문이었다.<br>현 가주 아망딘은 미모로 유명한 묘령의 여성이나, 재해 때 얼굴에 큰 상처를 입은 후로 사람들을 만나지 않게 되었다. 잃어버린 아름다움을 되찾기 위해 그녀와 계약했다는 자는 대체 누구일까?"
7,"울다하 투기장 재단이 소속 투사들을 단련하기 위해 설립한 수련장. 이곳에서는 행사에 내보낼 마물과 마수들이 사육되고 있었다. 하지만 제7재해 직후의 혼란기 동안 시설은 방치되었고, 주인 없는 마수들은 먹이가 없어 모두 굶어 죽었을 것으로 여겨지고 있었다.<br>그러나 5년 후 시설을 재건하기 위해 들어간 자들의 눈앞에는, 가혹한 생존 경쟁에서 살아남아 더욱더 흉포해진 마수들이 있었다."
8,"밀림으로 변한 빗물받이 숲에 브레이플록스가 이끄는 고블린족 일당이 야영지를 조성했다. 그러나 그들은 생활권을 넓히는 과정에서, 결코 깨워서는 안 될 존재의 깊은 잠을 방해하고 말았다.<br>야영지를 덮친 거대한 그림자를 피해 고블린들은 속수무책으로 도망칠 수밖에 없었다. 그러나 야영지에는 여행하면서 얻은 모든 재산이 고스란히 남아있다. 이를 차마 포기하지 못한 브레이플록스는 야영지 탈환을 호시탐탐 노리고 있었다."
9,"작열하는 태양 아래 불타는 대지, 남부 다날란. 이곳 동부에는 땅속에 반쯤 파묻힌 유적이 있다고 한다. 이름하여 '카른의 무너진 사원'.<br>사막도시 '울다하'의 뿌리가 된 것으로 전해지는 고대도시 '벨라흐디아'의 역대 왕들이, 수호신으로 받들던 태양의 여신 '아제마'를 모시기 위해 지은 이 커다란 유적에는 대체 무슨 비밀이 숨어있을 것인가……. 도굴꾼을 막기 위한 마법 함정이 빈틈없이 설치된 사원을 돌파하라."
