Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8],3 [0x3][0x1e],4 [0x19][0x21],5 [0x1a][0x21],6 [0x1b][0x21],7 [0x5][0x14],8 [0x7][0xc],9 [0x5][0x16],10 [0x5][0x18],11 [0x5][0x1a],12 [0x7][0x10],13 [0x5][0x1c],14 [0x3][0x1f],15 [0x3][0x20]
0,"","","",0,false,false,false,0,0,0,0,0,0,0,0,0
1,"무작위 임무: 레벨링","현재 참가 가능한 던전과 소규모 파티용 토벌전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무: 레벨링'의 경험치 및 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 경험치 및 길과의 차액을 보상으로 받게 됩니다.
※ 군표 지급량은 참가한 직업의 레벨에 따라 변동합니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.
※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 소규모 파티용 던전(레벨 15~59), 토벌전(레벨 20~44)",0,true,false,false,0,112034,0,100,5,0,0,4,2
2,"무작위 임무: 레벨 50 던전","현재 참가 가능한 레벨 50 던전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무: 레벨 50 던전'의 경험치와 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 경험치 및 길과의 차액을 보상으로 받게 됩니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.
※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 소규모 파티용 던전(레벨 50)",0,true,true,false,90,112035,100,120,0,0,0,3,2
3,"무작위 임무: 주요 퀘스트","현재 참가 가능한 주요 퀘스트용 대규모 임무 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무: 주요 퀘스트'의 경험치와 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 경험치 및 길과의 차액을 보상으로 받게 됩니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.
※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 대규모 파티용 던전(레벨 50)",0,true,false,false,42,112036,120,0,0,0,0,6,3
4,"무작위 임무: 길드 작전","현재 참가 가능한 길드 작전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무: 길드 작전'의 경험치 및 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 경험치 및 길과의 차액을 보상으로 받게 됩니다.
※ 군표 지급량은 참가한 직업의 레벨에 따라 변동합니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.
※ 4인 파티로 참가할 경우, 4인용 길드 작전이 배정되며 역할을 자유롭게 구성할 수 있습니다. 단, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 길드 작전(레벨 10~)",0,true,false,false,0,112037,0,0,0,0,0,7,3
5,"무작위 임무: 숙련자","한 번 이상 완료한 적이 있는 숙련자용 던전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무: 숙련자'의 길 보너스는 참가한 직업의 레벨에 따라 결정되며, 해당 임무에서 얻을 수 있는 경험치 및 길과의 차액을 보상으로 받게 됩니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.
※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 소규모 파티용 숙련자 던전(레벨 60)",0,true,true,false,210,112057,0,60,40,0,0,1,2
6,"무작위 임무: 토벌전","한 번 이상 완료한 적이 있는 토벌전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.
※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 대규모 파티용 토벌전(레벨 49~60)",0,true,false,false,90,112056,0,60,10,0,0,5,3
7,"무작위 임무: 전장","현재 참가 가능한 전장 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.","해당 임무: 전장(레벨 50)",0,true,false,true,0,112083,0,50,20,600,600,8,1
8,"무작위 임무: 레벨 60 던전","현재 참가 가능한 레벨 60 던전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무: 레벨 60 던전'의 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 길과의 차액을 보상으로 받게 됩니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.
※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 소규모 파티용 던전(레벨 60)",0,true,true,false,200,112123,0,100,15,0,0,2,2
9,"무작위 임무: 멘토","한 번 이상 완료한 적이 있는 멘토용 임무 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ 멘토 자격을 인증받은 캐릭터로만 참가할 수 있습니다.
※ '무작위 임무: 멘토'의 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 길과의 차액을 보상으로 받게 됩니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있습니다.","해당 임무: 멘토용 임무",0,true,true,false,230,112144,0,30,10,0,0,9,1
