Index,0 [0x3][0x1c],1 [0x3][0x1d],2 [0x6][0x8],3 [0x3][0x1e],4 [0x6][0xc],5 [0x3][0x1f],6 [0x6][0x10],7 [0x5][0x18],8 [0x5][0x1a],9 [0x0][0x0],10 [0x0][0x4],11 [0x6][0x14]
0,0,0,0,0,0,0,0,0,0,"","",0
1,1,1,3,5,15,3,1000,0,57,"던전: 무작위 임무","무작위 임무로 던전 3회 공략",84300
2,1,2,5,5,10,3,2000,0,57,"던전: 공략횟수","던전 5회 공략",56200
3,2,1,3,5,5,3,1000,0,71,"길드 작전: 공략횟수 1","길드 작전 3회 공략",28100
4,2,2,10,5,10,3,2000,0,71,"길드 작전: 공략횟수 2","길드 작전 10회 공략",56200
5,7,3,5,0,0,3,2000,0,231,"보물고: 보물상자 열기 1","보물고 아쿠아폴리스에서 보물상자 5회 열기",0
6,16,1,3,0,0,3,2000,60,0,"쿠로의 공상 수첩: 붙인  스티커 수","쿠로의 공상 수첩 대상 임무를 완료하여 스티커 3장 붙이기",0
7,3,1,10,0,0,4,10,0,130,"늑대우리: 참가횟수","늑대우리에 10회 참가",0
8,3,2,3,0,0,4,15,0,130,"늑대우리: 승리횟수","늑대우리에서 3회 승리",0
9,4,1,5,5,15,3,1000,0,0,"돌발 임무: 지역제패","5지역에서 발생하는 돌발 임무에서 최고평가 받기",84300
10,4,2,10,5,15,3,2000,0,0,"돌발 임무: 공략한 임무종류","돌발 임무 10종류 달성",84300
11,5,1,5,5,15,3,1000,0,0,"의뢰: 그림제패","판 그림이 다른 의뢰 5종류 달성",84300
12,5,2,20,5,15,3,2000,0,0,"의뢰: 달성횟수","의뢰 20회 달성",84300
13,6,1,10,0,0,6,1000,0,89,"군수물자, 보급물자조달: 납품횟수","군수물자, 보급물자조달을 통해 아이템 10회 납품",0
14,6,2,5,0,0,6,1000,0,89,"군수물자, 보급물자조달: HQ 납품횟수","군수물자, 보급물자조달을 통해 HQ 아이템 5회 납품",0
15,7,1,3,0,0,3,1000,0,149,"보물찾기: 지도 취득횟수","오래된 지도 3회 취득",0
16,7,2,5,0,0,3,2000,0,149,"보물찾기: 보물 획득횟수","보물찾기로 보물 5회 획득",0
