Index,0 [0x0][0x0],1 [0x7][0x4],2 [0x7][0x8],3 [0x19][0xd],4 [0x3][0xc]
0,"",0,0,false,0
1,"무작위 임무",61807,0,true,0
2,"던전",61801,60831,true,1
3,"길드 작전",61803,60833,false,2
4,"토벌전",61804,60834,true,1
5,"레이드",61802,60832,true,1
6,"PvP",61806,60836,false,1
7,"퀘스트 전투",61805,60835,false,0
8,"돌발 임무",61809,0,false,0
9,"보물찾기",61808,60838,true,0
10,"의뢰",61811,0,false,0
11,"총사령부",61812,0,false,0
12,"버디",61813,0,false,0
13,"야만족 퀘스트",61814,0,false,0
14,"달성 수 보너스",61810,0,false,0
15,"플레이어 추천",61817,0,false,0
16,"채집가",61815,0,false,0
17,"제작자",61816,0,false,0
18,"집사",61818,0,false,0
19,"골드 소서",61820,0,false,1
20,"",61823,60846,false,0
21,"딥 던전",61824,60847,false,0
22,"",61801,60831,false,0
23,"",61821,61821,true,1
24,"공상 수첩",61825,0,false,0
