Index,0 [0x5][0x10],1 [0x5][0x12],2 [0x7][0x8],3 [0x7][0xc],4 [0x5][0x14],5 [0x0][0x0],6 [0x0][0x4]
0,0,0,0,0,1,"",""
1,60,2089,20035,112145,1,"나무인형 토벌전","땅을 굳건히 밟고 서서, 하늘의 기운을 느끼고, 바다처럼 웅대한 기상을 품어라. 옛 무인의 가르침에 따라 나무인형을 상대로 꾸준히 정진할지어다! 제한시간 안에 나무인형을 토벌하라!"
2,60,2089,20034,112146,2,"나무인형 토벌전 - 극 비스마르크급","다시 소환된 구름신 '비스마르크'와의 전투를 가정한 나무인형을 준비했다. 궁극의 힘을 손에 넣은 구름신을 토벌할 생각이라면, 반드시 여기서 미리 훈련을 쌓고 가라!"
3,60,2089,30021,112147,3,"나무인형 토벌전 - 알렉산더: 기동편급","갑자기 움직이기 시작한 '기계 거인' 안으로 돌입한다고 들었다. 이런 식으로밖에 도움을 줄 수 없기에, 이번에도 나무인형을 준비했다. 마음껏 때리고 가라!"
4,60,2089,30025,112148,4,"나무인형 토벌전 - 알렉산더: 기동편(영웅) 1급","떠돌이 시인이 너희 이야기를 소상히 해주더군. 기공성 '알렉산더'에서 크게 활약했다고 들었다. 나무인형 상대로도 그 실력을 펼쳐주기 바란다!"
5,60,2089,30026,112149,5,"나무인형 토벌전 - 알렉산더: 기동편(영웅) 2급","떠돌이 시인이 너희 이야기를 소상히 해주더군. 기공성 '알렉산더'에서 크게 활약했다고 들었다. 나무인형 상대로도 그 실력을 펼쳐주기 바란다!"
6,60,2089,30027,112150,6,"나무인형 토벌전 - 알렉산더: 기동편(영웅) 3급","떠돌이 시인이 너희 이야기를 소상히 해주더군. 기공성 '알렉산더'에서 크게 활약했다고 들었다. 나무인형 상대로도 그 실력을 펼쳐주기 바란다!"
7,60,2089,30028,112151,7,"나무인형 토벌전 - 알렉산더: 기동편(영웅) 4급","떠돌이 시인이 너희 이야기를 소상히 해주더군. 기공성 '알렉산더'에서 크게 활약했다고 들었다. 나무인형 상대로도 그 실력을 펼쳐주기 바란다!"
8,60,2089,20036,112152,8,"나무인형 토벌전 - 극 나이츠 오브 라운드급","'마대륙'에서 사투를 벌였다는 소식 들었다. 야만신 '나이츠 오브 라운드'와 처절한 싸움을 펼쳤다더군. 우리에게도 그 용맹한 모습을 보여다오!"
9,60,2089,20038,112153,9,"나무인형 토벌전 - 극 마신 세피로트급","'삼투신'을 토벌하기 위한 활동을 시작했다고 들었다. 마신 '세피로트'와의 싸움을 이겨냈다면, 다음 전투에 대비해 꼭 여기서 훈련하기 바란다!"
