Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x19][0x12],9 [0x0][0x8],10 [0x5][0x18],11 [0x5][0x1a],12 [0x3][0x1c],13 [0x3][0x1d],14 [0x7][0x14],15 [0x3][0x1e],16 [0x3][0x1f],17 [0x3][0x20]
2000000,"",0,"",0,0,1,0,0,false,"",0,0,1,1,0,0,0,0
2000021,"오닐리의 머리장식",0,"오닐리의 머리장식",0,0,1,0,0,false,"오닐리의 머리장식",22623,1,1,1,0,3,0,0
2000024,"새 공구함",0,"새 공구함",0,0,1,0,0,false,"새 공구함",21002,1,1,1,65563,3,0,0
2000028,"아제마 장미",0,"아제마 장미",0,0,1,0,0,false,"아제마 장미",25919,1,1,1,65562,3,0,0
2000029,"작은 쇳조각",0,"작은 쇳조각",0,0,1,0,0,false,"작은 쇳조각",21007,1,1,1,65568,3,0,0
2000038,"불사탕",0,"불사탕",0,0,1,0,0,false,"불사탕",22624,1,1,1,66704,3,0,0
2000039,"바람사탕",0,"바람사탕",0,0,1,0,0,false,"바람사탕",22625,1,1,1,66704,3,0,0
2000040,"땅사탕",0,"땅사탕",0,0,1,0,0,false,"땅사탕",22626,1,1,1,66704,3,0,0
2000041,"봄의 엄지손가락",0,"봄의 엄지손가락",0,0,1,0,0,false,"봄의 엄지손가락",30201,1,5,1,66705,3,0,0
2000042,"수호천절 축제 초롱",0,"수호천절 축제 초롱",0,0,1,0,0,false,"수호천절 축제 초롱",24153,1,1,1,66706,5,0,0
2000043,"봄의 엄지손가락",0,"봄의 엄지손가락",0,0,1,0,0,false,"봄의 엄지손가락",30201,1,1,1,66706,3,0,0
2000044,"장난꾸러기 폭죽봉",0,"장난꾸러기 폭죽봉",0,0,1,0,0,false,"장난꾸러기 폭죽봉",22647,1,1,1,66706,3,0,0
2000045,"불사탕",0,"불사탕",0,0,1,0,0,false,"불사탕",22624,1,1,1,66700,3,0,0
2000046,"바람사탕",0,"바람사탕",0,0,1,0,0,false,"바람사탕",22625,1,1,1,66700,3,0,0
2000047,"땅사탕",0,"땅사탕",0,0,1,0,0,false,"땅사탕",22626,1,1,1,66700,3,0,0
2000048,"봄의 엄지손가락",0,"봄의 엄지손가락",0,0,1,0,0,false,"봄의 엄지손가락",30201,1,5,1,66701,3,0,0
2000049,"수호천절 축제 초롱",0,"수호천절 축제 초롱",0,0,1,0,0,false,"수호천절 축제 초롱",24153,1,1,1,66702,5,0,0
2000050,"봄의 엄지손가락",0,"봄의 엄지손가락",0,0,1,0,0,false,"봄의 엄지손가락",30201,1,1,1,66702,3,0,0
2000051,"장난꾸러기 폭죽봉",0,"장난꾸러기 폭죽봉",0,0,1,0,0,false,"장난꾸러기 폭죽봉",22646,1,1,1,66702,3,0,0
2000052,"불사탕",0,"불사탕",0,0,1,0,0,false,"불사탕",22624,1,1,1,66708,3,0,0
2000053,"바람사탕",0,"바람사탕",0,0,1,0,0,false,"바람사탕",22625,1,1,1,66708,3,0,0
2000054,"땅사탕",0,"땅사탕",0,0,1,0,0,false,"땅사탕",22626,1,1,1,66708,3,0,0
2000055,"봄의 엄지손가락",0,"봄의 엄지손가락",0,0,1,0,0,false,"봄의 엄지손가락",30201,1,5,1,66709,3,0,0
2000056,"수호천절 축제 초롱",0,"수호천절 축제 초롱",0,0,1,0,0,false,"수호천절 축제 초롱",24153,1,1,1,66710,5,0,0
2000057,"봄의 엄지손가락",0,"봄의 엄지손가락",0,0,1,0,0,false,"봄의 엄지손가락",30201,1,1,1,66710,3,0,0
2000058,"장난꾸러기 폭죽봉",0,"장난꾸러기 폭죽봉",0,0,1,0,0,false,"장난꾸러기 폭죽봉",22645,1,1,1,66710,3,0,0
2000061,"호박빛 물약",0,"호박빛 물약",0,0,1,0,0,false,"호박빛 물약",20661,1,3,1,65663,3,0,0
2000062,"벼룩모기의 알주머니",0,"벼룩모기의 알주머니",0,0,1,0,0,false,"벼룩모기의 알주머니",22623,1,8,1,65664,3,0,0
2000071,"아놀도마뱀 알",0,"아놀도마뱀 알",0,0,1,0,0,false,"아놀도마뱀 알",25251,1,4,1,65661,3,0,0
2000074,"수제 장어파이",0,"수제 장어파이",0,0,1,0,0,false,"수제 장어파이",24305,1,1,1,65621,3,0,0
2000075,"아메타의 콩주머니",0,"아메타의 콩주머니",0,0,1,0,0,false,"아메타의 콩주머니",22623,1,6,1,65639,3,0,0
2000076,"에메리아에게 보내는 편지",0,"에메리아에게 보내는 편지",0,0,1,0,0,false,"에메리아에게 보내는 편지",26151,1,1,1,65635,3,0,0
