Index,0 [0x0][0x0],1 [0x6][0x4],2 [0x5][0xc],3 [0x3][0x10],4 [0x6][0x8],5 [0x19][0x11],6 [0x5][0xe]
0,"",0,0,0,0,true,0
1,"쑥쑥 자라는 해조. 이름은 1말름(약 1600m)이나 되는 미역이 떠내려왔다는 전설에서 유래했다.",4776,4,0,128,true,0
2,"낚싯바늘이 없어도 낚을 수 있다고 할 만큼 식욕이 왕성하다. 눈앞에서 움직이는 물체는 뭐든 집게발로 붙잡으려 한다.",4925,2,2,148,true,0
3,"번식기가 되면 머리나 배, 꼬리 지느러미가 화려한 색으로 바뀐다. 이 아름다운 혼인색 때문에 관상어로 인기가 많다.",4926,3,2,134,true,0
4,"다른 큰 물고기의 먹잇감으로 먹이사슬을 떠받친다. 미끼로 많이 쓰기 때문에 어부에게는 친숙한 물고기.",4869,3,0,134,true,0
5,"키키룬 선원이 배 창고에서 썩은 물고기를 발견했다. 먹어봤더니 매우 맛이 좋았는데, 이것이 멸치 절임의 시초이다.",4870,3,0,134,true,0
6,"커르다스 민담에 따르면, 옛날에는 하늘을 날아다녔지만 건방진 태도 때문에 신들에게 벌을 받아 물속에서 기어 다니게 되었다고 한다.",4927,4,2,148,true,0
7,"물에서 낚아올리면 등지느러미와 뼈를 비비며 '기기기기기' 하고 낮은 소리로 운다. 낚인 게 억울한 것 같다.",4928,4,2,134,true,0
8,"손가락만큼 작은 새우. 국물 재료에 주로 쓰며 낚시 미끼로도 좋다.",4871,4,0,134,true,0
9,"햇볕이 없는 곳에서 주로 서식하므로 껍질이 희게 바랬다. 특히 탈피 직후에는 거의 투명해진다.",4929,5,2,148,true,0
10,"바위처럼 보이지만 엄연한 생물. 잘 가공하면 하얗고 아름다운 광택을 내기 때문에 '바다의 보석'이라고도 불린다.",5460,5,0,134,true,0
11,"송어낚시 초보자도 쉽게 낚을 수 있는 물고기. 하지만 노련한 어부도 나중에 가면 다시 이 물고기를 즐겨 낚는다고 한다.",4930,5,2,134,true,0
