Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd]
0,"",0,"",0,0,1,0,0
1,"광맥",0,"",0,0,1,0,0
2,"바위터",0,"",0,0,1,0,0
3,"성목",0,"",0,0,1,0,0
4,"약초밭",0,"",0,0,1,0,0
5,"미지의 광맥",0,"",0,0,1,0,0
6,"미지의 바위터",0,"",0,0,1,0,0
7,"미지의 성목",0,"",0,0,1,0,0
8,"미지의 약초밭",0,"",0,0,1,0,0
9,"시간제 광맥",0,"",0,0,1,0,0
10,"시간제 바위터",0,"",0,0,1,0,0
11,"시간제 성목",0,"",0,0,1,0,0
12,"시간제 약초밭",0,"",0,0,1,0,0
13,"전설의 광맥",0,"",0,0,1,0,0
14,"전설의 바위터",0,"",0,0,1,0,0
15,"전설의 성목",0,"",0,0,1,0,0
16,"전설의 약초밭",0,"",0,0,1,0,0
17,"숨겨진 광맥",0,"",0,0,1,0,0
18,"숨겨진 바위터",0,"",0,0,1,0,0
19,"숨겨진 성목",0,"",0,0,1,0,0
20,"숨겨진 약초밭",0,"",0,0,1,0,0
21,"",0,"",0,0,1,0,0
