Index,0 [0x3][0x6e],1 [0x3][0x6f],2 [0x3][0x70],3 [0x5][0x6c],4 [0x7][0x68],5 [0x3][0x71],6 [0x3][0x72],7 [0x3][0x73],8 [0x0][0x0],9 [0x0][0x4],10 [0x6][0x8],11 [0x6][0x18],12 [0x6][0x28],13 [0x6][0x38],14 [0x6][0x48],15 [0x6][0x58],16 [0x3][0x12],17 [0x3][0x22],18 [0x3][0x32],19 [0x3][0x42],20 [0x3][0x52],21 [0x3][0x62],22 [0x5][0xc],23 [0x5][0x1c],24 [0x5][0x2c],25 [0x5][0x3c],26 [0x5][0x4c],27 [0x5][0x5c],28 [0x3][0x13],29 [0x3][0x23],30 [0x3][0x33],31 [0x3][0x43],32 [0x3][0x53],33 [0x3][0x63],34 [0x5][0xe],35 [0x5][0x1e],36 [0x5][0x2e],37 [0x5][0x3e],38 [0x5][0x4e],39 [0x5][0x5e],40 [0x3][0x14],41 [0x3][0x24],42 [0x3][0x34],43 [0x3][0x44],44 [0x3][0x54],45 [0x3][0x64],46 [0x5][0x10],47 [0x5][0x20],48 [0x5][0x30],49 [0x5][0x40],50 [0x5][0x50],51 [0x5][0x60],52 [0x3][0x15],53 [0x3][0x25],54 [0x3][0x35],55 [0x3][0x45],56 [0x3][0x55],57 [0x3][0x65],58 [0x3][0x16],59 [0x3][0x26],60 [0x3][0x36],61 [0x3][0x46],62 [0x3][0x56],63 [0x3][0x66]
0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,8,1,0,5000,100,0,1,"도시 내 순찰","<switch:림사 로민사/그리다니아/울다하> 도시 내 정기 순찰을 명한다. 지정된 순찰 지점을 돌며 도시 안전을 확보하라.",0,0,0,0,0,0,0,0,0,0,0,0,145,145,145,145,145,145,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,20,20,20,20,20,20
2,8,0,1,500,5000,20,0,1,"인근 거점에 명령 전달","<switch:데네벨 관문/배넉 연병장/사골리 관문>으로 가는 전령을 명한다. 군 관련 서류를 해당 시설 주둔 부대에 전달하라.",0,0,0,0,0,0,0,0,0,0,0,0,165,165,165,150,160,150,20,20,20,20,20,20,160,160,170,170,150,160,20,20,20,20,20,20,160,160,150,165,175,175,20,20,20,20,20,20,20,20,20,20,20,20
3,8,0,1,500,6000,20,0,1,"도시 주변 도로 순찰","<switch:중부 라노시아/검은장막 숲 중부삼림/중부 다날란> 주요 가도 순찰을 명한다. 시민과 여행자, 상단의 안전을 위협하는 마물은 발견 즉시 처치하라.",0,0,0,0,0,0,0,0,0,0,0,0,245,245,150,195,155,195,20,20,20,20,20,20,155,200,255,255,195,155,20,20,20,20,20,20,200,155,195,150,250,250,20,20,20,20,20,20,20,20,20,20,20,20
4,8,0,5,500,7000,20,0,1,"야만족 부대 정찰","<switch:저지 라노시아에서 코볼드족/남부삼림에서 이크살족/중부 다날란에서 아말쟈족>을 목격했다는 정보가 들어왔다. 즉시 현장으로 가서 적군의 동향을 정찰하고, 보고하라.",0,0,0,0,0,0,0,0,0,0,0,0,150,195,155,245,245,195,20,20,20,20,20,20,255,155,195,200,155,255,20,20,20,20,20,20,195,250,250,155,200,150,20,20,20,20,20,20,20,20,20,20,20,20
5,8,0,10,500,8000,20,0,1,"보급부대 호위","<switch:해골 골짜기 야영지/아마리세 감시초소/마른뼈 야영지>로 가는 보급부대 호위를 명한다. 잠시도 경계를 게을리하지 말고, 보급부대의 안전을 확보하라.",0,0,0,0,0,0,0,0,0,0,0,0,210,125,305,305,210,115,20,20,20,20,20,20,125,210,210,130,320,320,20,20,20,20,20,20,310,310,130,210,115,210,20,20,20,20,20,20,20,20,20,20,20,20
6,8,0,15,500,9000,20,0,1,"해로운 짐승 퇴치","<switch:중부 라노시아/검은장막 숲 중부삼림/중부 다날란> 주민들에게서 <switch:구부/나무정령/거대거북> 제거 요청이 들어왔다. 즉시 현장으로 가서 피해가 커지는 것을 막아라.",14945,14945,14945,14945,14945,14945,1,1,1,1,1,1,140,225,320,320,130,225,20,20,20,20,20,20,225,140,145,225,335,335,20,20,20,20,20,20,325,325,225,145,225,130,20,20,20,20,20,20,20,20,20,20,20,20
7,10,12,20,2000,14000,0,0,1,"중요 임무: 하급 요마 소탕","<switch:속삭임 골짜기/워렌 감옥/노피카의 우물>에서 하급 요마로 보이는 그림자가 목격되었다. 이대로 두면 현지 주민이 피해를 입을 수도 있다. 즉시 현장으로 달려가 모든 요마를 확실히 섬멸하라.",15772,15772,15772,15772,15772,15772,1,1,1,1,1,1,235,235,235,235,235,235,0,0,0,0,0,0,245,245,245,245,245,245,0,0,0,0,0,0,255,255,255,255,255,255,0,0,0,0,0,0,100,100,100,100,100,100
8,12,0,20,1000,10000,20,0,2,"전방 부대 지원","<switch:해골 골짜기 야영지/유지니아 감시초소/리틀 알라미고> 주둔 부대에서 지원 요청이 들어왔다. <switch:코볼드족/이크살족/아말쟈족> 요격에 나선 현지 부대를 지원하라.",0,0,0,0,0,0,0,0,0,0,0,0,265,410,265,140,410,125,20,20,20,20,20,20,140,145,435,265,270,435,20,20,20,20,20,20,420,270,125,420,145,265,20,20,20,20,20,20,20,20,20,20,20,20
9,12,0,20,1000,11000,20,0,2,"동맹군 장교 호위","중요한 회담이 있어 <switch:쌍사당/불멸대/흑와단> 장교가 우리 도시를 방문한다. 비공정 승강장으로 마중 나가, 체류 기간 중 안내와 호위에 만전을 기하라.",0,0,0,0,0,0,0,0,0,0,0,0,270,130,270,145,415,415,20,20,20,20,20,20,440,440,145,270,275,150,20,20,20,20,20,20,130,270,425,425,150,275,20,20,20,20,20,20,20,20,20,20,20,20
10,12,0,25,1000,13000,20,0,2,"도시 외곽 도로 순찰","<switch:동부 라노시아/검은장막 숲 남부삼림/남부 다날란> 주요 가도 순찰을 명한다. 물자 운송의 요지이니, 치안 확보에 최선을 다하라.",0,0,0,0,0,0,0,0,0,0,0,0,425,140,280,425,280,155,20,20,20,20,20,20,285,450,155,160,450,280,20,20,20,20,20,20,160,280,435,285,140,435,20,20,20,20,20,20,20,20,20,20,20,20
11,12,0,30,1000,15000,20,0,2,"야만족 거점 위력 정찰","<switch:코볼드군 시굴지/이크살군 벌채장/아말쟈군 진영>의 세력을 정찰하라. 적 야만군의 요격이 예상되나, 물리치고 정보를 확보한 뒤 귀환하라.",0,0,0,0,0,0,0,0,0,0,0,0,170,440,440,295,155,295,20,20,20,20,20,20,295,300,175,465,465,170,20,20,20,20,20,20,450,175,300,155,295,450,20,20,20,20,20,20,20,20,20,20,20,20
12,12,0,35,1000,17000,20,0,2,"실종자 수색","<switch:외지 라노시아/검은장막 숲 북부삼림/북부 다날란>의 아군 부대에서 행방불명자가 나왔다. 적 세력의 영향력이 강한 지역이니, 신속히 수색하여 구출하라.",0,0,0,0,0,0,0,0,0,0,0,0,310,185,455,170,310,455,20,20,20,20,20,20,480,310,315,480,185,190,20,20,20,20,20,20,170,465,190,310,465,315,20,20,20,20,20,20,20,20,20,20,20,20
13,12,0,35,1000,18000,20,0,2,"동맹군 합동 훈련","<switch:불멸대와/흑와단과/쌍사당과>의 합동 훈련이 열린다. <switch:흑와단/쌍사당/불멸대> 대표로 참가하여, 우리 군의 저력을 보여라.",14945,14945,14945,14945,14945,14945,1,1,1,1,1,1,455,310,170,310,185,455,20,20,20,20,20,20,190,480,480,185,310,315,20,20,20,20,20,20,315,170,310,465,465,190,20,20,20,20,20,20,20,20,20,20,20,20
14,13,15,40,4000,20000,0,0,2,"중요 임무: 크리스탈 탈환 작전","야만신 <switch:타이탄/가루다/이프리트> 소환을 막고자 <switch:코볼드군 시굴지/이크살군 벌채장/아말쟈군 진영>에서 크리스탈 탈취 작전이 진행된다. 아군 부대와 협력하여 적 거점에 침입한 뒤, 목표물을 탈취하라.",0,0,0,0,0,0,0,0,0,0,0,0,315,315,315,315,315,315,0,0,0,0,0,0,325,325,325,325,325,325,0,0,0,0,0,0,340,340,340,340,340,340,0,0,0,0,0,0,100,100,100,100,100,100
15,16,0,40,4000,20000,0,0,2,"중요 임무: 크리스탈 탈환 작전","야만신 <switch:타이탄/가루다/이프리트> 소환을 막고자 <switch:코볼드군 시굴지/이크살군 벌채장/아말쟈군 진영>에서 크리스탈 탈취 작전이 진행된다. 아군 부대와 협력하여 적 거점에 침입한 뒤, 목표물을 탈취하라.",0,0,0,0,0,0,0,0,0,0,0,0,315,315,315,315,315,315,0,0,0,0,0,0,325,325,325,325,325,325,0,0,0,0,0,0,340,340,340,340,340,340,0,0,0,0,0,0,100,100,100,100,100,100
16,15,0,40,2000,20000,20,0,3,"야만족 거점 습격","<switch:우가마로 무장광산/나탈란 입식지/자하라크 진영> 공습 작전이 진행된다. 즉시 아군 부대와 합류하여 전력을 더하라.",14946,14946,14946,14946,14946,14946,5,5,5,5,5,5,530,530,385,245,385,265,20,20,20,20,20,20,385,275,560,560,265,385,20,20,20,20,20,20,275,385,245,385,540,540,20,20,20,20,20,20,20,20,20,20,20,20
