Index,0 [0x0][0x0],1 [0x2][0x10],2 [0x0][0x4],3 [0x2][0x11],4 [0x2][0x12],5 [0x2][0x13],6 [0x2][0x14],7 [0x2][0x15],8 [0x0][0x8],9 [0x0][0xc]
1,"쌍사당 이병",0,"",0,0,0,0,0,"이병",""
2,"쌍사당 일병",0,"",0,0,0,0,0,"일병",""
3,"쌍사당 상병",0,"",0,0,0,0,0,"상병",""
4,"쌍사당 병장",0,"",0,0,0,0,0,"병장",""
5,"쌍사당 하사",0,"",0,0,0,0,0,"하사",""
6,"쌍사당 중사",0,"",0,0,0,0,0,"중사",""
7,"쌍사당 상사",0,"",0,0,0,0,0,"상사",""
8,"쌍사당 원사",0,"",0,0,0,0,0,"원사",""
9,"쌍사당 소위",0,"",0,0,0,0,0,"소위",""
10,"쌍사당 중위",0,"",0,0,0,0,0,"중위",""
11,"쌍사당 대위",0,"",0,0,0,0,0,"대위",""
12,"쌍사당 소령",0,"",0,0,0,0,0,"소령",""
13,"쌍사당 중령",0,"",0,0,0,0,0,"중령",""
14,"쌍사당 대령",0,"",0,0,0,0,0,"대령",""
15,"쌍사당 준장",0,"",0,0,0,0,0,"준장",""
16,"쌍사당 소장",0,"",0,0,0,0,0,"소장",""
17,"쌍사당 중장",0,"",0,0,0,0,0,"중장",""
18,"쌍사당 대장",0,"",0,0,0,0,0,"대장",""
19,"쌍사당 장군",0,"",0,0,0,0,0,"장군",""
"","","","","","","","","","",""
