Index,0 [0x0][0x0],1 [0x2][0x10],2 [0x0][0x4],3 [0x2][0x11],4 [0x2][0x12],5 [0x2][0x13],6 [0x2][0x14],7 [0x2][0x15],8 [0x0][0x8],9 [0x0][0xc]
1,"흑와단 이병",0,"",0,0,0,0,0,"이병",""
2,"흑와단 일병",0,"",0,0,0,0,0,"일병",""
3,"흑와단 상병",0,"",0,0,0,0,0,"상병",""
4,"흑와단 병장",0,"",0,0,0,0,0,"병장",""
5,"흑와단 하사",0,"",0,0,0,0,0,"하사",""
6,"흑와단 중사",0,"",0,0,0,0,0,"중사",""
7,"흑와단 상사",0,"",0,0,0,0,0,"상사",""
8,"흑와단 원사",0,"",0,0,0,0,0,"원사",""
9,"흑와단 소위",0,"",0,0,0,0,0,"소위",""
10,"흑와단 중위",0,"",0,0,0,0,0,"중위",""
11,"흑와단 대위",0,"",0,0,0,0,0,"대위",""
12,"흑와단 소령",0,"",0,0,0,0,0,"소령",""
13,"흑와단 중령",0,"",0,0,0,0,0,"중령",""
14,"흑와단 대령",0,"",0,0,0,0,0,"대령",""
15,"흑와단 준장",0,"",0,0,0,0,0,"준장",""
16,"흑와단 소장",0,"",0,0,0,0,0,"소장",""
17,"흑와단 중장",0,"",0,0,0,0,0,"중장",""
18,"흑와단 대장",0,"",0,0,0,0,0,"대장",""
19,"흑와단 제독",0,"",0,0,0,0,0,"제독",""
"","","","","","","","","","",""
