Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x3][0x10],3 [0x5][0xc],4 [0x5][0xe],5 [0x3][0x11],6 [0x3][0x12],7 [0x6][0x8],8 [0x19][0x13]
0,"","",0,0,0,0,0,0,false
1,"자동 공격","일정 주기마다 자동으로 일반 공격을 가합니다.",1,0,0,0,1,101,false
2,"점프","위로 뛰어올라 조금 높은 곳도 넘을 수 있습니다.",1,0,0,0,2,102,false
3,"리미트 브레이크","리미트 브레이크 게이지를 소비하여 강력한 리미트 브레이크를 발동합니다.<br>클래스의 역할과 리미트 브레이크 단계에 따라 효과가 달라집니다.<br><color #FFFF66>방어 역할</color>: 파티원 모두에게 받는 피해량 감소 효과를 부여합니다. (범위: 50m)<br><color #FFFF66>근거리 공격 역할</color>: 적 하나에게 큰 피해를 줍니다.<br><color #FFFF66>원거리 공격 역할</color>: 전방 직선 범위 내 적에게 큰 피해를 줍니다. (범위: 30m)<br><color #FFFF66>마법 공격 역할</color>: 지정한 지면 위의 적에게 큰 피해를 줍니다. (범위: 8m / 10m / 15m)<br><color #FFFF66>회복 역할</color>: 파티원의 HP를 회복합니다. 3단계일 경우 전투불능인 파티원을 부활시킵니다.<br>부활 대상이 쇠약 상태가 아닐 경우 쇠약 상태를 부여하지 않으며, 부활 대상이 쇠약 상태일 경우 쇠약 지속시간이 초기화됩니다. (범위: 30m)",1,0,0,0,3,103,false
4,"전력 질주","현재 TP를 모두 사용하여 자신의 이동 속도를 상승시킵니다.<br><color?>지속시간</color>: (소비한 TP/50)초<br>※ PvP 지역 내에서는 TP 소비 없이 실행 가능하며, 지속시간이 10초로 고정됩니다.",1,3,0,56,4,104,false
5,"분해","아이템을 해체하여 다시 사용할 수 있는 재료를 골라냅니다.",2,0,95,0,21,120,true
6,"수리","장비의 내구도를 회복합니다.<br>수리용 촉매로 각 장비의 레벨에 맞는 암흑물질이 필요합니다.",2,0,0,0,5,106,true
7,"텔레포","길을 지불하고 이전에 방문한 적이 있는 에테라이트까지 순간이동합니다.",1,5,4,0,6,111,true
8,"데존","귀환 지점으로 설정한 장소에 순간이동합니다.",1,6,1,57,7,112,true
9,"탈것 무작위 호출","소유한 탈것 중 하나를 무작위로 불러냅니다.",1,0,0,0,17,118,false
10,"꼬마 친구 무작위 호출","소유한 꼬마 친구 중 하나를 무작위로 불러냅니다.",1,0,0,0,18,117,false
11,"","",0,0,0,0,0,0,false
12,"마테리아 장착","사념의 결정체인 마테리아를 장착하여 장비를 강화합니다.<br>장착용 촉매로 마테리아 등급에 맞는 탄화물질이 필요합니다.",2,0,11,0,8,107,true
13,"마테리아 장착 2","사념의 결정체인 마테리아를 장착하여 장비를 강화합니다.<br>장착용 촉매로 마테리아 등급에 맞는 탄화물질이 필요합니다.<br>실패할 위험성이 있지만, 장비에 파인 마테리아 홈보다 많이 장착할 수 있습니다.",2,0,12,0,9,108,true
14,"마테리아화","사념이 깃든 물체를 에테르로 분해한 다음 재결정(마테리아)화합니다.",2,0,13,0,10,109,true
15,"염색","염료를 소비하여 장비의 색상을 바꿉니다.",2,0,14,0,11,110,true
16,"조준: 순서대로","가장 가까운 적부터 순서대로 조준합니다.",3,0,0,0,12,113,true
17,"조준: 역순으로","가장 가까운 적부터 역순으로 조준합니다.",3,0,0,0,13,114,true
18,"설치","손에 들고 있는 아이템을 그 자리에 놓습니다.",1,0,0,0,0,61112,false
19,"지도 해독","오래된 지도를 해독합니다.",1,1694,25,0,15,115,false
20,"탐색","보물 지도에 적힌 보물상자가 있는지 주위를 조사합니다.<br><color?>범위: </color>반경 30m",1,1695,25,67,16,116,false
21,"정제","채집한 소장품을 정제하여 새로운 아이템을 발견합니다.",2,0,256,0,22,121,true
22,"장비 투영","환상의 프리즘을 소비하여 장비의 겉모습을 바꿉니다.",2,0,15,0,20,119,true
23,"내리기","탈것에서 내립니다.",1,0,0,0,0,61128,false
24,"나는 탈것 무작위 호출","소유한 나는 탈것 중 하나를 무작위로 불러냅니다.",1,0,0,0,17,122,false
25,"","",0,0,0,0,0,0,false
