Index,0 [0x3][0x98],1 [0x3][0x99],2 [0x5][0x8c],3 [0x3][0x9a],4 [0x0][0x0],5 [0x0][0x4],6 [0x5][0x8e],7 [0x5][0x90],8 [0x7][0x60],9 [0x5][0x92],10 [0x7][0x64],11 [0x7][0x68],12 [0x3][0x9b],13 [0x7][0x6c],14 [0x19][0x9e],15 [0x7][0x70],16 [0x7][0x74],17 [0x7][0x78],18 [0x7][0x7c],19 [0x7][0x80],20 [0x5][0x94],21 [0x7][0x8],22 [0x7][0xc],23 [0x5][0x34],24 [0x5][0x36],25 [0x7][0x10],26 [0x5][0x38],27 [0x5][0x3a],28 [0x5][0x3c],29 [0x7][0x14],30 [0x7][0x18],31 [0x7][0x1c],32 [0x7][0x20],33 [0x7][0x24],34 [0x5][0x3e],35 [0x5][0x40],36 [0x5][0x42],37 [0x5][0x44],38 [0x5][0x46],39 [0x5][0x48],40 [0x5][0x4a],41 [0x5][0x4c],42 [0x5][0x4e],43 [0x5][0x50],44 [0x5][0x52],45 [0x5][0x54],46 [0x5][0x56],47 [0x5][0x58],48 [0x5][0x5a],49 [0x7][0x28],50 [0x7][0x2c],51 [0x7][0x30],52 [0x3][0x5c],53 [0x2][0x9d],54 [0x6][0x88],55 [0x7][0x84],56 [0x4][0x96],57 [0x3][0x9c]
0,0,0,60,0,"","",0,18,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-1,0,0,-1,0
1,2,0,90,27,"토토라크 감옥","",0,18,22,0,2281258,169,0,112005,false,0,0,444,1200,1203,5,3400,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53288,550,0,100,-1,0,0,-1,0
2,2,0,90,19,"탐타라 묘소","",0,18,17,0,1958540,164,0,112002,false,1003,1004,73,1000,1004,2,2600,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32156,400,78,100,-1,0,0,-1,0
3,2,0,90,20,"구리종 광산","",0,18,177,0,2790145,161,0,112003,false,2704,2705,101,2700,2705,3,2700,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39690,400,79,100,-1,0,0,-1,0
4,2,0,90,18,"사스타샤 침식 동굴","",0,18,174,0,3283219,157,0,112001,false,2504,2505,1206,2500,2505,1,2500,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30870,400,6,100,-1,0,0,-1,0
5,2,0,90,49,"금빛 골짜기","",0,18,316,0,3619405,172,0,112014,false,0,0,1532,2900,2903,12,5700,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131969,2400,4,100,-1,0,0,-1,0
6,2,0,90,31,"하우케타 별궁","",0,18,18,0,3633039,166,0,112006,false,0,0,422,1100,1103,6,3800,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62244,700,11,100,-1,0,0,-1,0
7,2,0,90,23,"할라탈리 수련장","",0,18,180,0,4097951,162,0,112004,false,0,0,1197,2405,2407,4,3000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45570,450,0,100,-1,0,0,-1,0
8,2,0,90,34,"브레이플록스의 야영지","",0,18,183,0,3998421,158,0,112007,false,0,0,1279,2400,2403,7,4200,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77396,900,0,100,-1,0,0,-1,0
9,2,0,90,37,"카른의 무너진 사원","",0,18,304,0,4064743,163,0,112009,false,0,0,1570,3500,3509,8,4500,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89303,1200,0,100,-1,0,0,-1,0
