Index,0 [0x6][0x4],1 [0x3][0x8],2 [0x0][0x0]
0,0,0,""
1,61412,1,"신생 에오르제아"
2,61412,2,"제7성력 스토리"
3,61412,3,"창천의 이슈가르드"
4,61412,4,"용시전쟁 완결편"
5,61412,5,"용시전쟁 전후편"
6,61411,6,"야만신의 위협"
7,61411,7,"바하무트"
8,61411,8,"크리스탈 타워"
9,61411,9,"알렉산더"
10,61411,10,"고대의 신들"
11,61411,11,"마하의 그림자"
12,61411,12,"야만족 이야기"
13,61411,12,"일일 퀘스트"
14,61411,13,"야만족 이야기"
15,61411,13,"일일 퀘스트"
16,61411,14,"야만족 이야기"
17,61411,14,"일일 퀘스트"
18,61411,15,"야만족 이야기"
19,61411,15,"일일 퀘스트"
20,61411,16,"야만족 이야기"
21,61411,16,"일일 퀘스트"
22,61411,17,"야만족 이야기"
23,61411,17,"일일 퀘스트"
24,61411,18,"야만족 이야기"
25,61411,18,"일일 퀘스트"
26,61411,19,"야만족 이야기"
27,61411,19,"일일 퀘스트"
28,61411,20,"힐디브랜드"
29,61411,20,"힐디브랜드 창천편"
30,61411,20,"성 앙달림 신학원기"
31,61411,20,"용시전쟁 번외편"
32,61411,20,"떠돌이 시인"
33,61411,20,"조디악 웨폰"
34,61411,20,"아니마 웨폰"
35,61411,20,"배달부 모그리"
36,61411,20,"야만족 이야기 외전"
37,0,0,""
38,61411,20,"도마 모험단"
39,61411,21,"부가 퀘스트: 라노시아"
40,61411,22,"부가 퀘스트: 검은장막 숲"
41,61411,23,"부가 퀘스트: 다날란"
42,61411,24,"부가 퀘스트: 커르다스"
43,61411,25,"부가 퀘스트: 모르도나"
44,61411,26,"부가 퀘스트: 이슈가르드"
45,61411,27,"부가 퀘스트: 아발라시아 구름바다"
46,61411,28,"부가 퀘스트: 고지 드라바니아"
47,61411,28,"부가 퀘스트: 저지 드라바니아"
48,61411,28,"부가 퀘스트: 드라바니아 구름바다"
49,61411,28,"부가 퀘스트: 이딜샤이어"
50,61411,29,"부가 퀘스트: 아지스 라"
51,62301,32,"검술사 퀘스트"
52,62302,32,"격투사 퀘스트"
53,62303,32,"도끼술사 퀘스트"
54,62304,32,"창술사 퀘스트"
55,62305,32,"궁술사 퀘스트"
56,62309,32,"쌍검사 퀘스트"
57,62306,33,"환술사 퀘스트"
58,62307,33,"주술사 퀘스트"
59,62308,33,"비술사 퀘스트"
60,62310,34,"목수 퀘스트"
61,62311,34,"대장장이 퀘스트"
62,62312,34,"갑주제작사 퀘스트"
63,62313,34,"보석공예가 퀘스트"
64,62314,34,"가죽공예가 퀘스트"
65,62315,34,"재봉사 퀘스트"
66,62316,34,"연금술사 퀘스트"
67,62317,34,"요리사 퀘스트"
68,62318,35,"광부 퀘스트"
69,62319,35,"원예가 퀘스트"
70,62320,35,"어부 퀘스트"
71,62401,36,"나이트 퀘스트"
72,62402,36,"몽크 퀘스트"
73,62403,36,"전사 퀘스트"
74,62404,36,"용기사 퀘스트"
75,62405,36,"음유시인 퀘스트"
76,62410,36,"닌자 퀘스트"
77,62406,37,"백마도사 퀘스트"
78,62407,37,"흑마도사 퀘스트"
79,62408,37,"소환사 퀘스트"
80,62409,37,"학자 퀘스트"
81,62412,36,"암흑기사 퀘스트"
82,62411,36,"기공사 퀘스트"
83,62413,37,"점성술사 퀘스트"
84,61401,38,"흑와단 퀘스트"
85,61402,38,"쌍사당 퀘스트"
86,61403,38,"불멸대 퀘스트"
87,61411,39,"기간 한정 퀘스트"
88,61411,39,"강신제"
89,61411,39,"중국/한국 전용"
90,61411,39,"발렌티온데이"
91,61411,39,"프린세스데이"
92,61411,39,"알 사냥 축제"
93,61411,39,"골드 소서 축제"
94,61411,39,"불꽃축제"
95,61411,39,"신생제"
96,61411,39,"수호천절"
97,61411,39,"별빛축제"
98,61411,39,"기타 기간 한정 이벤트"
99,61411,40,"특수 퀘스트"
100,62501,41,"용병 의뢰"
101,62502,45,"목수 의뢰"
102,62503,46,"대장장이 의뢰"
103,62504,47,"갑주제작사 의뢰"
104,62505,48,"보석공예가 의뢰"
105,62506,49,"가죽공예가 의뢰"
106,62507,50,"재봉사 의뢰"
107,62508,51,"연금술사 의뢰"
108,62509,52,"요리사 의뢰"
109,62510,42,"광부 의뢰"
110,62511,43,"원예가 의뢰"
111,62512,44,"어부 의뢰"
112,62501,53,"용병 의뢰"
113,62502,57,"목수 의뢰"
114,62503,58,"대장장이 의뢰"
115,62504,59,"갑주제작사 의뢰"
116,62505,60,"보석공예가 의뢰"
117,62506,61,"가죽공예가 의뢰"
118,62507,62,"재봉사 의뢰"
119,62508,63,"연금술사 의뢰"
120,62509,64,"요리사 의뢰"
121,62510,54,"광부 의뢰"
122,62511,55,"원예가 의뢰"
123,62512,56,"어부 의뢰"
124,0,0,""
125,0,0,""
126,0,0,""
127,62513,66,"흑와단 의뢰"
128,62514,66,"쌍사당 의뢰"
129,62515,66,"불멸대 의뢰"
130,61801,67,"던전"
131,61802,68,"레이드"
132,61804,69,"토벌전"
133,61803,67,"길드 작전"
134,0,70,"주요 퀘스트: 구 버전"
135,0,70,"부가 퀘스트: 구 버전"
136,0,70,"클래스 퀘스트: 구 버전"
137,0,70,"잡 퀘스트: 구 버전"
138,0,70,"총사령부 퀘스트: 구 버전"
