Index,0 [0x5][0x8],1 [0x0][0x0],2 [0x0][0x4],3 [0x5][0xa],4 [0x3][0xc]
0,0,"","",0,0
1,0,"姿なき声","",1,134
2,1,"碧海の宝","",2,134
3,2,"リムレーンの伝説","",3,134
4,3,"別想","",4,134
5,4,"降り注ぐ光","",5,134
6,5,"眠れる鬼","",6,134
7,6,"那由他の精霊","",7,134
8,7,"招かれざる客","",8,134
9,8,"ほむらの日","",9,134
10,9,"太陽の都","",10,134
11,10,"小さな犠牲","",11,134
12,11,"災厄来たれり","",12,134
13,12,"ある始まり","",13,134
14,13,"決死の救出作戦","",14,134
15,14,"利害の調停者","",15,134
16,15,"異質なるもの","",16,134
17,16,"炎獄の神","",17,134
18,17,"アラミゴ解放軍","",18,134
19,18,"重なる未来","",19,134
20,59,"債鬼繁盛記","",20,136
21,60,"守護者の旅立ち","",21,136
22,61,"コインの裏と表と","",22,136
23,79,"噛ませ犬","",23,136
24,80,"自由の権利","",24,136
25,81,"興奮の代償","",25,136
26,99,"断罪党の洗礼","",26,136
27,100,"俺たちの海賊","",27,136
28,101,"笑って見てろ","",28,136
29,139,"バデロンのお勧め","",29,136
30,140,"ミューヌのお勧め","",30,136
31,141,"モモディのお勧め","",31,136
32,143,"相棒を変更したい","",32,136
33,159,"神勇隊","",33,136
34,160,"昏い森","",34,136
35,161,"過去より伸びる手","",35,136
36,179,"鬼哭隊","",36,136
37,180,"石と黄金","",37,136
38,181,"したたかに","",38,136
39,239,"復讐依頼","",39,136
40,240,"やっつけ伝道師","",40,136
41,241,"ナル・ザル教団特約","",41,136
42,259,"木霊が務め","",42,136
43,260,"竜騎士の夢","",43,136
44,261,"呼び声","",44,136
45,299,"小さな先生","",45,136
46,300,"小さな鬼","",46,136
47,301,"精霊たちの贈り物","",47,136
48,319,"左耳の男","",48,136
49,320,"セイレーンの歌声","",49,136
50,321,"魅惑の島","",50,136
51,359,"貴方のかたち","",51,136
52,360,"フ・ラミンの花","",52,136
53,361,"心の臓の刃","",53,136
54,379,"物言わぬもの","",54,136
55,380,"第二のアトリエ","",55,136
56,381,"師弟評価制度","",56,136
57,399,"赤の章","",57,136
58,400,"灰の章","",58,136
59,401,"白の章","",59,136
60,419,"眠りの淵","",60,136
61,420,"ドラゴンになった少年","",61,136
62,421,"夢か現か","",62,136
63,439,"プルプル対決","",63,136
64,440,"消えた美食家","",64,136
65,441,"湯けむり毒殺事件","",65,136
66,459,"時のかけら","",66,136
67,460,"とっておき大作戦","",67,136
68,461,"彼女の逃避行","",68,136
69,479,"グリダニアの根っこ","",69,136
70,480,"憧れの大都会","",70,136
71,481,"モーグリの花畑","",71,136
72,499,"サハギン族をやっつけろ","",72,136
73,500,"いけすのヌシ","",73,136
74,501,"うはうは期間","",74,136
75,626,"業火の試練","",75,135
76,632,"メルヴァン税関公社の失敗","",76,135
77,633,"希望の橋","",77,135
78,635,"バラクーダの復讐","",78,135
79,637,"愛情たっぷり","",79,135
80,638,"海賊うっかり","",80,135
81,639,"息子の消息","",81,135
82,640,"気合がっつり","",82,135
83,641,"さざなみの音色","",83,135
84,642,"お魚革命","",84,135
85,643,"月の胸騒ぎ","",85,135
86,645,"黒い関係","",86,135
87,647,"彫刻家の野望","",87,135
88,652,"バラクーダ騎士団特務","",88,135
89,653,"夜道に注意","",89,135
90,654,"猛る炎","",90,135
91,655,"お野菜革命","",91,135
92,657,"いたずらの序曲","",92,135
93,658,"伝説のシクサ","",93,135
94,659,"いたずらの輪舞曲","",94,135
95,661,"息子の苦闘","",95,135
96,662,"失われた日記","",96,135
97,663,"秘められた想い","",97,135
98,664,"誰がための祈り","",98,135
99,665,"原初の呼応","",99,135
100,666,"森に仇なす者","",100,135
101,667,"商機を握る豆","",101,135
102,668,"盗まれし魂","",102,135
103,673,"三重の幻術皇","",103,135
104,674,"扉を叩くモノ","",104,135
105,675,"眠れない冒険者たち","",105,135
106,676,"お偉い呪術士先生","",106,135
107,678,"すべてはお客様のために","",107,135
108,679,"ミリオンシード","",108,135
109,680,"汚点","",109,135
110,681,"さらわれた呪術士","",110,135
111,682,"かなしみの呪術士","",111,135
112,683,"泣きっ面に花","",112,135
113,684,"キャンプ・ホライズンからの伝令","",113,135
114,685,"背徳の名","",114,135
115,686,"わさわさコブラン","",115,135
116,689,"新商品で巻き返せ","",116,135
117,694,"つわものなる者たち","",117,135
118,705,"安らぎのゆくえ","",118,135
119,706,"生命の境界","",119,135
120,707,"最後の群民","",120,135
121,725,"黄金の加護","",121,135
122,726,"呪剣に秘められし盟約","",122,135
123,727,"海霧にひそむ闇市","",123,135
124,733,"突撃！　噂の魔物！","",124,135
