Index,0 [0x5][0x4],1 [0x5][0x6],2 [0x3][0x8],3 [0x19][0x9],4 [0x0][0x0]
0,0,0,0,false,""
1,57,1,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }> 님을 파티에 초대했습니다."
2,57,1,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }> 님이 파티 초대를 취소했습니다."
3,57,33,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }> 님의 파티에 초대받았습니다."
4,57,1,0,false,"파티를 탈퇴했습니다."
5,57,1,0,false,"파티가 해체되었습니다."
6,0,0,0,false,""
7,0,0,0,false,""
8,57,1,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }> 님을 차단 목록에 추가했습니다."
9,57,1,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }> 님을 차단 목록에서 제외했습니다."
10,57,33,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }> 님에게 친구 신청을 보냈습니다."
11,57,33,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }> 님에게 친구 신청을 받았습니다."
12,57,1,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }> 님을 친구 목록에서 삭제했습니다."
13,57,1,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }> 님을 [<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>] 링크셸에 초대했습니다."
14,57,33,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }> 님이 [<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>] 링크셸에 초대했습니다."
15,57,1,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }> 님을 [<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>] 링크셸의 관리자로 설정했습니다."
16,57,1,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }> 님의 [<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>] 링크셸 관리자 권한을 취소했습니다."
