Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd],8 [0x6][0x4c],9 [0x5][0x60],10 [0x3][0x6c],11 [0x3][0x6d],12 [0x3][0x6e],13 [0x5][0x62],14 [0x5][0x64],15 [0x9][0x1c],16 [0x9][0x34],17 [0x9][0x20],18 [0x9][0x38],19 [0x9][0x24],20 [0x9][0x3c],21 [0x9][0x28],22 [0x9][0x40],23 [0x9][0x2c],24 [0x9][0x44],25 [0x9][0x30],26 [0x9][0x48],27 [0x5][0x66],28 [0x0][0x10],29 [0x0][0x14],30 [0x0][0x18],31 [0x3][0x6f],32 [0x3][0x70],33 [0x19][0x77],34 [0x1a][0x77],35 [0x6][0x50],36 [0x6][0x54],37 [0x6][0x58],38 [0x6][0x5c],39 [0x2][0x76],40 [0x5][0x68],41 [0x3][0x71],42 [0x3][0x72],43 [0x3][0x73],44 [0x3][0x74],45 [0x3][0x75],46 [0x5][0x6a],47 [0x1b][0x77],48 [0x1c][0x77],49 [0x1d][0x77]
0,"",0,"",0,0,1,0,0,0,0,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,"","","",10,10,false,true,0,0,0,0,-1,0,0,100,0,0,0,0,false,false,false
1,"내 초코보",0,"",0,0,1,0,0,1,2,2,45,15,374,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,false,true,65536,65536,65537,0,0,4401,1,100,0,0,0,0,false,false,false
2,"",0,"",0,0,1,0,0,1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,61,"","","SE_Bt_Etc_ChocoboBye",20,20,false,true,65537,65537,65537,65537,-1,0,0,100,0,0,0,0,false,false,false
3,"",0,"",0,0,1,0,0,1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,61,"","","SE_Bt_Etc_ChocoboBye",2,9,false,true,65552,65552,65537,0,-1,0,0,100,0,0,0,0,false,false,false
4,"구부",0,"",0,0,1,0,0,200,4,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,false,true,0,1,0,0,1,4403,6,100,0,0,0,1,false,true,false
5,"레거시 초코보",0,"",0,0,1,0,0,1,2,2,45,15,374,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,false,true,65545,65545,65545,65545,2,4402,1,100,0,0,0,0,false,false,false
6,"마도 아머",0,"",0,0,1,0,0,2,2,1,45,0,374,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,262,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,false,true,0,131073,0,0,3,4406,3,77,0,0,0,2,false,true,false
7,"",0,"",0,0,1,0,0,311,5,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"","","",0,0,false,true,0,1,0,0,-1,0,0,100,0,0,0,0,false,false,false
8,"커얼",0,"",0,0,1,0,0,70,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,121,"SE_Bt_Etc_CuahrWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_CuahrBye",20,10,false,true,0,1,0,0,4,4405,7,60,0,0,0,0,false,false,false
9,"아리만",0,"",0,0,1,0,0,167,2,1,45,15,374,375,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,121,"SE_Bt_Etc_AhrimanWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_AhrimanBye",20,10,false,true,0,1,0,0,5,4404,8,100,0,0,0,0,true,false,false
10,"",0,"",0,0,1,0,0,1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"","","SE_Bt_Etc_ChocoboBye",20,20,false,true,65536,65536,65537,0,-1,0,0,100,0,0,0,0,false,false,false
11,"",0,"",0,0,1,0,0,1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"","","SE_Bt_Etc_ChocoboBye",20,20,false,true,65538,65541,65537,65538,-1,0,0,100,0,0,0,0,false,false,false
12,"",0,"",0,0,1,0,0,1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"","","SE_Bt_Etc_ChocoboBye",20,20,false,true,65538,131077,65537,65538,-1,0,0,100,0,0,0,0,false,false,false
13,"",0,"",0,0,1,0,0,1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"","","SE_Bt_Etc_ChocoboBye",20,20,false,true,65538,196613,65537,65538,-1,0,0,100,0,0,0,0,false,false,false
14,"",0,"",0,0,1,0,0,2,2,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,false,true,0,65537,0,0,-1,0,0,77,0,0,0,0,false,false,false
15,"유니콘",0,"",0,0,1,0,0,534,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,0,1,0,0,6,4407,200,65,0,0,0,0,false,false,false
16,"",0,"",0,0,1,0,0,2,2,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,false,true,0,196609,0,0,-1,0,0,77,0,0,0,0,false,false,false
17,"",0,"",0,0,1,0,0,2,2,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,false,true,0,131073,0,0,-1,0,0,77,0,0,0,3,false,false,false
18,"베히모스",0,"",0,0,1,0,0,588,2,0,45,15,0,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,121,"SE_Bt_Etc_BehemothWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BehemothBye",20,10,false,true,0,1,0,0,7,4408,9,55,0,0,0,0,false,false,false
19,"훈련된 도마뱀",0,"",0,0,1,0,0,592,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"SE_Bt_Etc_TokageWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TokageBye",20,10,false,true,0,1,0,0,8,4409,10,100,0,0,0,4,false,true,false
20,"월계수 구부",0,"",0,0,1,0,0,593,4,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,false,true,0,1,0,0,9,4410,6,100,0,0,0,5,false,true,false
21,"C식 마도 아머",0,"",0,0,1,0,0,2,2,1,45,0,374,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,262,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,false,true,0,262145,0,0,10,4411,3,77,0,0,0,2,false,true,false
22,"나이트메어",0,"",0,0,1,0,0,594,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,0,1,0,0,11,4412,200,65,0,0,0,0,false,false,false
23,"",0,"",0,0,1,0,0,592,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"SE_Bt_Etc_TokageWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TokageBye",20,10,false,true,0,1,0,0,-1,0,0,100,0,0,0,6,false,false,false
24,"",0,"",0,0,1,0,0,593,4,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,false,true,0,1,0,0,-1,0,0,100,0,0,0,7,false,false,false
25,"뚱보 초코보",0,"",0,0,1,0,0,643,2,2,45,0,374,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,193,"SE_Bt_Etc_DebuCyokoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_DebuCyokoboBye",20,10,true,false,0,1,0,0,12,4413,2,100,0,0,0,0,false,false,false
26,"훈련된 엘브스트",0,"",0,0,1,0,0,689,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"SE_Bt_Etc_WaterRizardWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WaterRizardBye",20,10,false,true,0,1,0,0,13,4414,11,100,0,0,0,0,false,false,false
27,"봄 벌룬",0,"",0,0,1,0,0,644,2,1,45,15,374,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_BomKikyuuWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BomKikyuuBye",20,10,false,true,0,1,0,0,14,4415,12,100,0,0,0,0,true,false,false
28,"아이톤",0,"",0,0,1,0,0,713,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,269,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,0,1,0,0,15,4416,200,65,0,0,0,0,false,false,false
