Index,0 [0x2][0xf],1 [0x3][0xc],2 [0x5][0x8],3 [0x3][0xd],4 [0x7][0x0],5 [0x7][0x4],6 [0x3][0xe],7 [0x5][0xa]
0,4,1,13,0,0,8463,0,330
1,4,1,13,0,0,8464,0,340
2,4,2,144,0,0,8465,0,340
3,2,0,0,0,0,1005632,1,340
4,2,0,0,0,0,1005639,1,340
5,2,0,0,0,0,1005646,1,340
6,4,1,13,0,0,8466,0,340
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,5,0,0,4,326,1017190,0,340
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,1,0,73,0,0,0,0,340
25,1,0,66,0,0,0,0,300
26,4,1,13,0,0,8459,0,300
27,2,0,0,0,0,1011274,0,300
28,2,0,0,0,0,1005632,3,300
29,2,0,0,0,0,1005639,3,300
30,2,0,0,0,0,1005646,3,300
31,0,0,0,0,0,0,0,0
