Index,0 [0x3][0x20],1 [0x7][0x0],2 [0x7][0x4],3 [0x7][0x8],4 [0x7][0xc],5 [0x3][0x21],6 [0x3][0x22],7 [0x3][0x23],8 [0x3][0x24],9 [0x7][0x10],10 [0x7][0x14],11 [0x7][0x18],12 [0x7][0x1c],13 [0x3][0x25],14 [0x3][0x26],15 [0x3][0x27],16 [0x3][0x28],17 [0x1][0x29],18 [0x1][0x2a],19 [0x1][0x2b],20 [0x1][0x2c]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false
3,0,0,892010496,892862464,0,0,20,1,1,0,0,0,0,0,0,0,0,false,false,false,false
4,0,0,891092992,891944960,0,0,20,1,1,0,892010496,892862464,0,0,0,1,1,false,false,true,true
5,0,0,866582528,867434496,0,0,20,1,1,0,891092992,891944960,0,0,0,1,1,false,false,false,false
6,0,0,974520320,975372288,0,0,20,1,1,0,866582528,867434496,0,0,0,1,1,false,false,false,false
7,0,0,997654528,998506496,0,0,20,1,1,0,974520320,975372288,0,0,0,1,1,false,false,false,false
8,0,0,998572032,999424000,0,0,20,1,1,0,997654528,998506496,0,0,0,1,1,false,false,false,false
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false
