Index,0 [0x7][0x4],1 [0x3][0x8],2 [0x0][0x0],3 [0x19][0x9],4 [0x1a][0x9]
0,0,2,"",false,true
1,14999504,2,"하얀 눈색",false,true
2,11315362,2,"회색",false,true
3,9013124,2,"구부 회색",false,true
4,6645093,2,"진회색",false,true
5,4736834,2,"탄회색",false,true
6,2828579,2,"숯검정색",false,true
7,15114134,4,"장미색",false,true
8,8612201,4,"라일락색",false,true
9,5969705,4,"롤란베리색",false,true
10,7871002,4,"달라가브색",false,true
11,6431239,4,"녹슨 빨간색",false,true
12,4527377,4,"포도주색",false,true
13,13397086,4,"산호색",false,true
14,9517863,4,"선홍색",false,true
15,14985866,4,"연어색",false,true
16,12016685,5,"노을색",false,true
17,8206598,5,"황야의 붉은색",false,true
18,6966071,5,"나무껍질색",false,true
19,7224612,5,"초콜릿색",false,true
20,5188895,5,"적갈색",false,true
21,3154203,5,"코볼드색",false,true
22,13209942,5,"코르크색",false,true
23,10055231,5,"키키룬색",false,true
24,8084525,5,"오포오포색",false,true
25,10651484,5,"큰뿔염소색",false,true
26,12940324,5,"늙은호박색",false,true
27,9328667,5,"도토리색",false,true
28,6570518,5,"과수원 흙색",false,true
29,4008205,5,"밤색",false,true
30,12166281,5,"고블린색",false,true
31,9601388,5,"찰흙색",false,true
32,6378053,5,"두더지색",false,true
33,4141865,5,"비옥토색",false,true
34,15455136,6,"상아색",false,true
35,12034928,6,"울다하 갈색",false,true
36,14398551,6,"초코보 노랑",false,true
37,16434731,6,"꿀색",false,true
38,14982708,6,"옥수수색",false,true
39,12355588,6,"커얼색",false,true
40,15914864,6,"크림색",false,true
41,10847280,6,"할라탈리 노란색",false,true
42,4207377,6,"건포도색",false,true
43,5788208,7,"습지 녹색",false,true
44,12303242,7,"실프색",false,true
45,11251796,7,"라임색",false,true
46,7369510,7,"이끼색",false,true
47,9149539,7,"풀색",false,true
48,4936242,7,"올리브색",false,true
49,3290657,7,"늪지 녹색",false,true
50,10204003,7,"풋사과색",false,true
51,6652481,7,"선인장색",false,true
52,2640684,7,"진녹색",false,true
53,4219705,7,"오츄색",false,true
54,6255960,7,"금강거북색",false,true
55,3886396,7,"노피카의 녹색",false,true
56,1976865,7,"밀림 녹색",false,true
57,9878969,7,"옅은 청록색",false,true
58,4420210,7,"터키석 색",false,true
59,2049606,7,"몰볼색",false,true
60,11715790,8,"옅은 하늘색",false,true
61,8630482,8,"하늘색",false,true
62,6586784,8,"바다안개색",false,true
63,3893382,8,"공작깃 파란색",false,true
64,1850708,8,"로타노 바다색",false,true
65,9345964,8,"좀비의 얼굴색",false,true
66,5199718,8,"청린수 색",false,true
67,3094609,8,"쪽빛 파란색",false,true
68,1711911,8,"검푸른색",false,true
69,5996480,8,"랍토르색",false,true
70,3102857,8,"오사드 바다색",false,true
71,2310514,8,"선명한 파란색",false,true
72,1124676,8,"보이드의 파란색",false,true
73,2568295,8,"감청색",false,true
74,1579319,8,"밤하늘색",false,true
75,3618631,8,"청회색",false,true
76,3222871,8,"청보라색",false,true
77,8880046,9,"라벤더색",false,true
78,5326176,9,"어두운 보라색",false,true
79,3288123,9,"머루색",false,true
80,12033724,9,"붓꽃색",false,true
81,3877437,9,"포도색",false,true
82,16699125,9,"연꽃색",false,true
83,14457802,9,"콜리브리색",false,true
84,7950956,9,"매화색",false,true
85,6697038,9,"자주색",false,true
86,0,0,"",false,false
87,0,0,"",false,false
88,0,0,"",false,false
89,0,0,"",false,false
90,0,0,"",false,false
91,0,0,"",false,false
92,0,0,"",false,false
93,0,0,"",false,false
94,0,0,"",false,false
95,0,0,"",false,false
96,0,0,"",false,false
97,0,0,"",false,false
98,0,0,"",false,false
99,0,0,"",false,false
100,0,0,"",false,false
101,16382196,10,"순백색",false,true
102,1973790,10,"칠흑색",false,true
103,16632006,10,"부드러운 연분홍",false,true
104,3283225,10,"짙은 빨강",false,true
105,2629916,10,"짙은 갈색",false,true
106,12242858,10,"부드러운 연녹색",false,true
107,1387564,10,"짙은 녹색",false,true
108,9872601,10,"부드러운 연파랑",false,true
109,1187629,10,"짙은 파랑",false,true
110,12301786,10,"부드러운 연보라",false,true
111,2301990,10,"짙은 자주색",false,true
112,10987431,10,"은색",true,false
113,15590973,10,"금색",true,false
114,11935051,10,"금속질 빨간색",true,false
115,14978095,0,"금속질 주황색",true,false
116,16046662,0,"금속질 노란색",true,false
117,2271063,10,"금속질 녹색",true,false
118,6214886,10,"금속질 하늘색",true,false
119,5264089,10,"금속질 파란색",true,false
120,10708674,10,"금속질 보라색",true,false
