Index,0 [0x0][0x0],1 [0x6][0x8],2 [0x3][0xe],3 [0x3][0xf],4 [0x19][0x12],5 [0x3][0x10],6 [0x7][0x4],7 [0x4][0xc],8 [0x3][0x11]
0,"",0,0,0,false,0,0,0,0
1,"활력 상승",5130,1,8,false,0,0,2,38
2,"철벽 방어 효과 향상",5201,1,14,false,0,0,0,38
3,"활력 상승 2",5131,1,16,false,0,0,4,38
4,"경각심 지속시간 연장",5208,1,44,false,0,0,0,38
5,"활력 상승 3",5132,1,24,false,0,0,6,38
6,"플래시 효과 향상",5203,1,20,false,0,0,0,38
7,"재활 효과 향상",5206,1,32,false,0,0,0,38
8,"경계 효과 향상",5202,1,48,false,0,0,0,38
9,"할로네의 분노 효과 향상",5207,1,40,false,0,0,0,38
10,"방패 가격 지속시간 연장",5204,1,36,false,0,0,0,38
11,"임전무퇴 지속시간 연장",5205,1,28,false,0,0,0,38
12,"활력 상승",5130,3,8,false,0,0,2,44
13,"활력 상승 2",5131,3,16,false,0,0,4,44
14,"피의 갈증 지속시간 연장",5252,3,20,false,0,0,0,44
15,"예지력 재사용 대기 시간 단축",5251,3,14,false,0,0,0,44
16,"활력 상승 3",5132,3,24,false,0,0,6,44
17,"관절 파괴 지속시간 연장",5254,3,48,false,0,0,0,44
18,"광폭화 지속시간 연장",5253,3,36,false,0,0,0,44
19,"잔혹한 일격 지속시간 연장",5255,3,32,false,0,0,0,44
20,"최후의 일격 재사용 대기 시간 단축",5257,3,40,false,0,0,0,44
21,"골절 지속시간 연장",5256,3,28,false,0,0,0,44
22,"전투의 짜릿함 효과 향상",5258,3,44,false,0,0,0,44
23,"힘 상승",5110,2,8,false,0,0,2,41
24,"힘 상승 2",5111,2,16,false,0,0,4,41
25,"힘 상승 3",5112,2,24,false,0,0,6,41
26,"질풍번개 효과 향상",5230,2,20,false,0,0,0,41
27,"발경 효과 향상",5229,2,36,false,0,0,0,41
28,"새털 걸음 효과 향상",5227,2,14,false,0,0,0,41
29,"내단 효과 향상",5226,2,32,false,0,0,0,41
30,"철산고 재사용 대기 시간 단축",5232,2,44,false,0,0,0,41
31,"질풍번개 효과 향상 2",5231,2,40,false,0,0,0,41
32,"쌍장타 효과 향상",5228,2,28,false,0,0,0,41
33,"만트라 효과 향상",5233,2,48,false,0,0,0,41
34,"힘 상승",5110,4,8,false,0,0,2,47
35,"날카로운 돌풍 효과 향상",5280,4,20,false,0,0,0,47
36,"눈속임 공격 지속시간 연장",5279,4,14,false,0,0,0,47
37,"힘 상승 2",5111,4,16,false,0,0,4,47
38,"힘 상승 3",5112,4,24,false,0,0,6,47
39,"기합 효과 향상",5276,4,36,false,0,0,0,47
40,"다리 쳐내기 재사용 대기 시간 단축",5282,4,28,false,0,0,0,47
41,"생명력 쇄도 재사용 대기 시간 단축",5277,4,32,false,0,0,0,47
42,"필사의 각오 효과 향상",5278,4,44,false,0,0,0,47
43,"겹찌르기 지속시간 연장",5281,4,40,false,0,0,0,47
44,"몸통 가르기 지속시간 연장",5283,4,48,false,0,0,0,47
45,"민첩성 상승",5120,5,14,false,0,0,2,50
46,"민첩성 상승 2",5121,5,16,false,0,0,4,50
47,"육중한 사격 효과 향상",5306,5,8,false,0,0,0,50
48,"기술 공격력 증가",5302,5,20,false,0,0,10,50
49,"독화살 지속시간 연장",5305,5,24,false,0,0,0,50
50,"용맹한 사격 재사용 대기 시간 단축",5307,5,28,false,0,0,0,50
51,"민첩성 상승 3",5122,5,32,false,0,0,6,50
52,"재빠른 활시위 효과 향상",5304,5,36,false,0,0,12,50
53,"기술 공격력 증가 2",5303,5,40,false,0,0,20,50
54,"마구 쏘기 효과 향상",5301,5,44,false,0,0,0,50
55,"지속 피해 효과 향상",5308,5,48,false,0,0,0,50
56,"정신력 상승",5150,6,8,false,0,0,2,53
57,"정신력 상승 2",5151,6,14,false,0,0,4,53
58,"메디카 효과 향상",5332,6,16,false,0,0,20,53
59,"기술 공격력 및 회복량 증가",5185,6,20,false,0,0,10,53
60,"정신력 상승 3",5152,6,24,false,0,0,6,53
61,"레이즈 효과 향상",5327,6,28,false,0,0,0,53
62,"케알 효과 향상",5330,6,32,false,0,0,0,53
63,"케알라 효과 향상",5331,6,44,false,0,0,0,53
64,"기술 공격력 및 회복량 증가 2",5186,6,40,false,0,0,30,53
65,"스톤스킨 시전 시간 단축",5328,6,36,false,0,0,5,53
66,"여신의 가호 효과 향상",5326,6,48,false,0,0,0,53
67,"지능 상승",5140,7,8,false,0,0,2,55
68,"지능 상승 2",5141,7,14,false,0,0,4,55
69,"견고한 마법 효과 향상",5353,7,16,false,0,0,0,55
70,"기술 공격력 및 회복량 증가",5185,7,20,false,0,0,10,55
71,"컬랩스 효과 향상",5354,7,24,false,0,0,0,55
72,"슬리플 효과 향상",5351,7,36,false,0,0,5,55
73,"지능 상승 3",5142,7,32,false,0,0,6,55
74,"마배리어 효과 향상",5356,7,48,false,0,0,0,55
75,"기술 공격력 및 회복량 증가 2",5186,7,40,false,0,0,30,55
76,"파이어 효과 향상",5352,7,44,false,0,0,0,55
77,"선더 계열 마법 효과 향상",5355,7,28,false,0,0,0,55
78,"원예가의 눈 자동화",5451,17,2,false,0,0,0,18
79,"",0,0,0,false,0,0,2,0
80,"은신 효과 향상",5452,17,18,false,0,0,30,18
81,"은신 효과 향상 2",5453,17,28,false,0,0,40,18
82,"",0,0,0,false,0,0,30,0
83,"은신 효과 향상 3",5454,17,38,false,0,0,50,18
84,"",0,0,0,false,0,0,40,0
85,"",0,0,0,false,0,0,5,0
86,"광부의 눈 자동화",5426,16,2,false,0,0,0,17
87,"",0,0,0,false,0,0,2,0
88,"은신 효과 향상",5427,16,18,false,0,0,30,17
89,"은신 효과 향상 2",5428,16,28,false,0,0,40,17
90,"",0,0,0,false,0,0,30,0
91,"은신 효과 향상 3",5429,16,38,false,0,0,50,17
92,"",0,0,0,false,0,0,40,0
93,"",0,0,0,false,0,0,5,0
94,"숲의 속삭임",5455,17,11,false,0,0,0,18
95,"숲의 속삭임 2",5456,17,16,false,0,0,0,18
96,"숲의 속삭임 3",5457,17,21,false,0,0,0,18
97,"숲의 속삭임 4",5458,17,26,false,0,0,0,18
98,"속성 가호 효과 향상",5459,17,41,false,0,0,0,18
99,"속성 가호 효과 향상 2",5460,17,50,false,0,0,0,18
100,"광석의 속삭임",5430,16,11,false,0,0,0,17
101,"광석의 속삭임 2",5431,16,16,false,0,0,0,17
102,"광석의 속삭임 3",5432,16,21,false,0,0,0,17
103,"광석의 속삭임 4",5433,16,26,false,0,0,0,17
104,"속성 가호 효과 향상",5434,16,41,false,0,0,0,17
105,"속성 가호 효과 향상 2",5435,16,50,false,0,0,0,17
106,"모래 낚시",5483,18,35,false,0,0,0,19
107,"구름바다 낚시",5484,18,45,false,0,0,0,19
108,"은신 효과 향상",5476,18,18,false,0,0,30,19
109,"은신 효과 향상 2",5477,18,28,false,0,0,40,19
110,"은신 효과 향상 3",5478,18,38,false,0,0,50,19
111,"갈매기의 눈",5479,18,15,false,0,0,15,19
112,"갈매기의 눈 2",5480,18,35,false,0,0,35,19
113,"갈매기의 눈 3",5481,18,50,false,0,0,50,19
114,"생미끼 낚시 효과 향상",5482,18,40,false,0,0,0,19
115,"에테르 순환 효과 향상",5384,26,8,false,0,0,0,68
116,"지능 상승",5140,26,14,false,0,0,2,68
117,"지능 상승 2",5141,26,16,false,0,0,4,68
118,"기술 공격력 및 회복량 증가",5185,26,20,false,0,0,10,68
119,"에테르 순환 효과 향상 2",5385,26,20,false,0,0,0,68
120,"소환수 기술 효과 향상",5387,26,24,false,0,0,20,68
121,"바이러스 효과 향상",5388,26,28,false,0,0,0,68
122,"지능 상승 3",5142,26,32,false,0,0,6,68
123,"생명력 흡수 효과 향상",5389,26,36,false,0,0,0,68
124,"기술 공격력 및 회복량 증가 2",5186,26,40,false,0,0,30,68
125,"에테르 순환 효과 향상 3",5386,26,40,false,0,0,0,68
126,"눈에는 눈 재사용 대기 시간 단축",5390,26,44,false,0,0,0,68
127,"각성 재사용 대기 시간 단축",5391,26,48,false,0,0,0,68
128,"힘 상승",9004,0,2,false,0,0,5,0
129,"HP 최대치 상승",9001,0,3,false,0,0,10,0
130,"명중력 상승",9010,0,5,false,0,0,5,0
131,"극대화 상승",9012,0,6,false,0,0,15,0
132,"힘 상승",9004,0,8,false,0,0,5,0
133,"HP 최대치 상승",9001,0,9,false,0,0,10,0
134,"힘 상승",9004,0,2,false,0,0,5,0
135,"HP 최대치 상승",9001,0,3,false,0,0,5,0
136,"명중력 상승",9010,0,5,false,0,0,5,0
137,"극대화 상승",9012,0,6,false,0,0,15,0
138,"힘 상승",9004,0,8,false,0,0,10,0
139,"공격속도 상승",9013,0,9,false,0,0,-10,0
140,"정신력 상승",9008,0,2,false,0,0,10,0
141,"HP 최대치 상승",9001,0,3,false,0,0,5,0
142,"명중력 상승",9010,0,5,false,0,0,5,0
143,"극대화 상승",9012,0,6,false,0,0,15,0
144,"정신력 상승",9008,0,8,false,0,0,15,0
145,"HP 최대치 상승",9001,0,9,false,0,0,5,0
146,"힘 상승(PvP)",9801,0,0,true,4,128,2,1
147,"힘 상승 2(PvP)",9802,0,0,true,4,129,4,1
148,"힘 상승 3(PvP)",9803,0,0,true,4,130,6,1
149,"민첩성 상승(PvP)",9811,0,0,true,4,131,2,1
150,"민첩성 상승 2(PvP)",9812,0,0,true,4,132,4,1
151,"민첩성 상승 3(PvP)",9813,0,0,true,4,133,6,1
152,"활력 상승(PvP)",9821,0,0,true,4,134,2,1
153,"활력 상승 2(PvP)",9822,0,0,true,4,135,4,1
154,"활력 상승 3(PvP)",9823,0,0,true,4,136,6,1
155,"지능 상승(PvP)",9831,0,0,true,4,137,2,1
156,"지능 상승 2(PvP)",9832,0,0,true,4,138,4,1
157,"지능 상승 3(PvP)",9833,0,0,true,4,139,6,1
158,"정신력 상승(PvP)",9841,0,0,true,4,140,2,1
159,"정신력 상승 2(PvP)",9842,0,0,true,4,141,4,1
160,"정신력 상승 3(PvP)",9843,0,0,true,4,142,6,1
161,"신앙심 상승(PvP)",9851,0,0,true,4,143,2,1
162,"신앙심 상승 2(PvP)",9852,0,0,true,4,144,4,1
163,"신앙심 상승 3(PvP)",9853,0,0,true,4,145,6,1
164,"귀갑 방패 효과 향상",0,0,0,true,4,146,0,38
165,"귀갑 방패 효과 향상 2",0,0,0,true,4,147,5,38
166,"귀갑 방패 효과 향상 3",0,0,0,true,4,148,-10,38
167,"명예로운 일격 효과 향상",0,0,0,true,4,149,0,38
168,"명예로운 일격 효과 향상 2",0,0,0,true,4,150,0,38
169,"미스릴 폭풍 효과 향상",0,0,0,true,4,151,0,44
170,"미스릴 폭풍 효과 향상 2",0,0,0,true,4,152,0,44
171,"미스릴 폭풍 효과 향상 3",0,0,0,true,4,153,1,44
172,"전쟁의 짜릿함 효과 향상",0,0,0,true,4,154,0,44
173,"전쟁의 짜릿함 효과 향상 2",0,0,0,true,4,155,5,44
174,"전쟁의 짜릿함 효과 향상 3",0,0,0,true,4,156,10,44
175,"전력 강타 상승",0,0,0,true,4,157,0,85
176,"전력 강타 상승 2",0,0,0,true,4,158,5,85
177,"전력 강타 상승 3",0,0,0,true,4,159,10,85
178,"찍어차기 효과 향상",0,0,0,true,4,160,0,41
179,"찍어차기 효과 향상 2",0,0,0,true,4,161,0,41
180,"찍어차기 효과 향상 3",0,0,0,true,4,162,2,41
181,"공중제비 효과 향상",0,0,0,true,4,163,0,41
182,"공중제비 효과 향상 2",0,0,0,true,4,164,3,41
183,"공중제비 효과 향상 3",0,0,0,true,4,165,-20,41
184,"구속 방지 효과 향상",0,0,0,true,4,166,0,86
185,"구속 방지 효과 향상 2",0,0,0,true,4,167,3,86
186,"연쇄 돌격 효과 향상",0,0,0,true,4,168,0,47
187,"연쇄 돌격 효과 향상 2",0,0,0,true,4,169,5,47
188,"연쇄 돌격 효과 향상 3",0,0,0,true,4,170,0,47
189,"꼬챙이 꿰기 효과 향상",0,0,0,true,4,171,0,47
190,"꼬챙이 꿰기 효과 향상 2",0,0,0,true,4,172,4,47
191,"꼬챙이 꿰기 효과 향상 3",0,0,0,true,4,173,-20,47
192,"마나의 노래 효과 향상",0,0,0,true,4,174,0,50
193,"마나의 노래 효과 향상 2",0,0,0,true,4,175,15,50
194,"원거리 사격 효과 향상",0,0,0,true,4,176,0,50
195,"원거리 사격 효과 향상 2",0,0,0,true,4,177,0,50
196,"원거리 사격 효과 향상 3",0,0,0,true,4,178,10,50
197,"폭발 사격 효과 향상",0,0,0,true,4,179,0,50
198,"폭발 사격 효과 향상 2",0,0,0,true,4,180,0,50
199,"폭발 사격 효과 향상 3",0,0,0,true,4,181,5,50
200,"여신의 자비 효과 향상",0,0,0,true,4,182,0,53
201,"여신의 자비 효과 향상 2",0,0,0,true,4,183,6,53
202,"여신의 자비 효과 향상 3",0,0,0,true,4,184,30,53
203,"여신의 숨결 효과 향상",0,0,0,true,4,185,0,73
204,"여신의 숨결 효과 향상 2",0,0,0,true,4,186,20,73
205,"밤의 날개 효과 향상",0,0,0,true,4,187,0,55
206,"밤의 날개 효과 향상 2",0,0,0,true,4,188,2,55
207,"유령 쐐기 효과 향상",0,0,0,true,4,189,0,55
208,"유령 쐐기 효과 향상 2",0,0,0,true,4,190,0,55
209,"유령 쐐기 효과 향상 3",0,0,0,true,4,191,5,55
210,"안개의 장막 효과 향상",0,0,0,true,4,192,0,69
211,"안개의 장막 효과 향상 2",0,0,0,true,4,193,5,69
212,"안개의 장막 효과 향상 3",0,0,0,true,4,194,10,69
213,"쇠퇴 효과 향상",0,0,0,true,4,195,0,69
214,"",0,0,0,false,0,0,0,0
215,"",0,0,0,false,0,0,0,0
216,"생명파동술 효과 향상",0,0,0,true,4,198,0,29
217,"생명파동술 효과 향상 2",0,0,0,true,4,199,0,29
218,"생명파동술 효과 향상 3",0,0,0,true,4,200,5,29
219,"정신통일책 효과 향상",0,0,0,true,4,201,0,73
220,"정신통일책 효과 향상 2",0,0,0,true,4,202,5,73
221,"정신통일책 효과 향상 3",0,0,0,true,4,203,10,73
222,"무기 투척 효과 향상",0,0,0,true,4,204,0,85
223,"무기 투척 효과 향상 2",0,0,0,true,4,205,2,85
224,"무기 투척 효과 향상 3",0,0,0,true,4,206,20,85
225,"분발 효과 향상",0,0,0,true,4,207,0,101
226,"분발 효과 향상 2",0,0,0,true,4,208,0,101
227,"에테르 분출 효과 향상",0,0,0,true,4,209,0,89
228,"에테르 분출 효과 향상 2",0,0,0,true,4,210,5,89
229,"에테르 분출 효과 향상 3",0,0,0,true,4,211,-20,89
230,"전념 효과 향상",0,0,0,true,4,212,0,89
231,"전념 효과 향상 2",0,0,0,true,4,213,5,89
232,"마나 흡수 효과 향상",0,0,0,true,4,214,0,90
233,"마나 흡수 효과 향상 2",0,0,0,true,4,215,20,90
234,"정화 효과 향상",0,0,0,true,4,216,0,1
