Index,0 [0x0][0x0]
0,""
1,"활력이 2 상승합니다."
2,"철벽 방어의 피해량 감소 효과가 20%로 상승합니다."
3,"활력이 4 상승합니다."
4,"경각심의 지속시간을 25초로 연장합니다."
5,"활력이 6 상승합니다."
6,"플래시에 <color #FF7B1A>실명</color>효과가 추가됩니다.<br><color?>지속시간</color>: 12초"
7,"재활의 체력 회복량 증가 효과가 30%로 상승합니다."
8,"경계의 피해량 감소 효과가 40%로 상승합니다."
9,"할로네의 분노의 힘 감소 효과가 10%로 상승합니다."
10,"방패 가격의 지속시간을 6초로 연장합니다."
11,"임전무퇴의 지속시간을 30초로 연장합니다."
12,"활력이 2 상승합니다."
13,"활력이 4 상승합니다."
14,"피의 갈증의 지속시간을 30초로 연장합니다."
15,"예지력의 재사용 대기 시간이 90초로 단축됩니다."
16,"활력이 6 상승합니다."
17,"관절 파괴의 지속시간을 24초로 연장합니다."
18,"광폭화의 지속시간을 20초로 연장합니다."
19,"잔혹한 일격의 지속시간을 5초로 연장합니다."
20,"최후의 일격의 재사용 대기 시간이 40초로 단축됩니다."
21,"골절의 지속시간을 30초로 연장합니다."
22,"전투의 짜릿함의 HP 최대치 증가 효과가 20%로 상승합니다."
23,"힘이 2 상승합니다."
24,"힘이 4 상승합니다."
25,"힘이 6 상승합니다."
26,"질풍번개가 2단계까지 누적 가능해집니다."
27,"발경의 극대화 발동률 증가 효과가 30%로 상승합니다."
28,"새털 걸음의 회피율 상승 효과가 20%로 상승합니다."
29,"내단의 회복력이 650으로 상승합니다."
30,"철산고의 재사용 대기 시간이 40초로 단축됩니다."
31,"질풍번개가 3단계까지 누적 가능해집니다."
32,"쌍장타의 피해량 증가 효과가 10%로 상승합니다."
33,"만트라의 체력 회복량 증가 효과가 20%로 상승합니다."
34,"힘이 2 상승합니다."
35,"날카로운 돌풍의 받아넘기기 발동률 상승 효과가 80%로 늘어납니다."
36,"눈속임 공격의 지속시간을 20초로 연장합니다."
37,"힘이 4 상승합니다."
38,"힘이 6 상승합니다."
39,"기합의 TP 회복량이 500으로 증가합니다."
40,"다리 쳐내기의 재사용 대기 시간이 20초로 단축됩니다."
41,"생명력 쇄도의 재사용 대기 시간이 50초로 단축됩니다."
42,"필사의 각오의 주는 피해량 증가 효과가 30%로 상승하고, 받는 피해량 증가 효과가 15%로 감소합니다."
43,"겹찌르기의 지속시간을 24초로 연장합니다."
44,"몸통 가르기의 지속시간을 30초로 연장합니다."
45,"민첩성이 2 상승합니다."
46,"민첩성이 4 상승합니다."
47,"다음에 실행하는 직선 사격에 반드시 극대화가 발생합니다.<if(PLYR: 73 >= 53 ) {<if(PLYR: 69 == 24 ) {<br>또 <color #FF7B1A>여행신의 무곡</color> 발동 중에는 직선 사격이 즉시 발동됩니다.<br>} else {<br>}>} else {<br>}><color?>지속시간</color>: 10초<br><color?>발동 조건</color>: 육중한 사격 실행 시(발동률 20%)"
48,"자동 공격을 제외한 모든 기술로 주는 피해량이 기본 피해량의 1.1배로 증가합니다."
49,"독화살의 지속시간을 18초로 연장합니다."
50,"용맹한 사격 재사용 대기 시간이 120초로 단축됩니다."
51,"민첩성이 6 상승합니다."
52,"재빠른 활시위의 사정거리가 12m로 늘어납니다."
53,"자동 공격을 제외한 모든 기술로 주는 피해량이 기본 피해량의 1.2배로 증가합니다."
54,"마구 쏘기의 공격 판정이 3번으로 늘어납니다."
55,"사혈 화살 및 죽음의 화살비의 재사용 대기 시간을 초기화합니다.<br><color?>발동 조건</color>: 독화살, 바람 화살의 지속 피해 극대화 발생 시(발동률 50%)"
56,"정신력이 2 상승합니다."
57,"정신력이 4 상승합니다."
58,"메디카의 소비 MP가 절반으로 감소합니다.<br><color?>발동 조건</color>: 메디카 실행 시(발동률 20%)"
59,"자동 공격을 제외한 모든 기술로 주는 피해량과 회복량이 기본 수치의 1.1배로 증가합니다."
60,"정신력이 6 상승합니다."
61,"레이즈를 전투 중에도 실행할 수 있게 됩니다."
62,"다음에 시전하는 케알라의 소비 MP가 0이 됩니다.<br><color?>지속시간: </color>15초<br><color?>발동조건: </color>케알 실행 시(발동률 15%)"
63,"다음에 시전하는 케알가의 소비 MP가 절반이 됩니다.<br><color?>지속시간: </color>15초<br><color?>발동조건: </color>케알라 실행 시(발동률 15%)"
64,"자동 공격을 제외한 모든 기술로 주는 피해량과 회복량이 기본 수치의 1.3배로 증가합니다."
65,"스톤스킨 시전 시간이 2.5초로 단축됩니다."
66,"여신의 가호의 MP 회복 효과량이 80으로 상승합니다."
67,"지능이 2 상승합니다."
68,"지능이 4 상승합니다."
69,"견고한 마법의 재사용 대기 시간을 초기화합니다.<br><color?>발동조건: </color>견고한 마법 실행 시(발동률 15%)"
70,"자동 공격을 제외한 모든 기술로 주는 피해량과 회복량이 기본 수치의 1.1배로 증가합니다.<br>또 천상의 화염 및 저승의 냉기가 2단계까지 누적 가능해집니다."
71,"피해량이 2배로 증가합니다.<br><color?>발동조건: </color>컬랩스 실행 시(발동률 20%)"
72,"슬리플을 범위 기술로 만듭니다.<br><color?>범위: </color>반경 5m"
73,"지능이 6 상승합니다."
74,"마배리어의 효과량이 HP 최대치의 30%로 상승합니다."
75,"자동 공격을 제외한 모든 기술로 주는 피해량과 회복량이 기본 수치의 1.3배로 증가합니다.<br>또 천상의 화염 및 저승의 냉기가 3단계까지 누적 가능해집니다."
76,"다음에 시전하는 파이가의 시전 시간과 소비 MP가 0이 됩니다.<br><color?>지속시간: </color>12초<br><color?>발동조건: </color>파이어 실행 시(발동률 40%)"
77,"다음에 시전하는 선더, 선더라, 선더가의 시전 시간과 소비 MP가 0이 되고, 적에게 명중 시 기본 피해량과 함께 총 지속 피해량을 일시에 줍니다.<br><color?>지속시간</color>: 12초<br><color?>발동 조건</color>: 선더, 선더라, 선더가의 지속 피해 발생 시(발동률 10%)"
78,"원예가로 클래스 체인지했을 때, 자동으로 원예가의 눈 효과를 받습니다."
79,""
80,"'은신' 효과가 적용되는 마물의 최대 레벨이 30으로 상승합니다."
81,"'은신' 효과가 적용되는 마물의 최대 레벨이 40으로 상승합니다."
82,""
83,"'은신' 효과가 적용되는 마물의 최대 레벨이 50으로 상승합니다."
84,""
85,""
86,"광부로 클래스 체인지했을 때, 자동으로 광부의 눈 효과를 받습니다."
87,""
88,"'은신' 효과가 적용되는 마물의 최대 레벨이 30으로 상승합니다."
89,"'은신' 효과가 적용되는 마물의 최대 레벨이 40으로 상승합니다."
90,""
91,"'은신' 효과가 적용되는 마물의 최대 레벨이 50으로 상승합니다."
92,""
93,""
94,"성목과 약초밭에서 획득률에 관한 특수한 성질을 발견할 수 있게 됩니다."
95,"성목과 약초밭에서 획득 횟수에 관한 특수한 성질을 발견할 수 있게 됩니다."
96,"성목과 약초밭에서 HQ 획득률에 관한 특수한 성질을 발견할 수 있게 됩니다."
97,"성목과 약초밭에서 획득 개수에 관한 특수한 성질을 발견할 수 있게 됩니다."
98,"크리스탈에 속성 가호 효과가 적용됩니다."
99,"클러스터에 속성 가호 효과가 적용됩니다."
100,"광맥과 바위터에서 획득률에 관한 특수한 성질을 발견할 수 있게 됩니다."
101,"광맥과 바위터에서 획득 횟수에 관한 특수한 성질을 발견할 수 있게 됩니다."
102,"광맥과 바위터에서 HQ 획득률에 관한 특수한 성질을 발견할 수 있게 됩니다."
103,"광맥과 바위터에서 획득 개수에 관한 특수한 성질을 발견할 수 있게 됩니다."
104,"크리스탈에 속성 가호 효과가 적용됩니다."
105,"클러스터에 속성 가호 효과가 적용됩니다."
106,"모래바다에서 낚시할 수 있게 됩니다."
107,"구름바다에서 낚시할 수 있게 됩니다."
108,"'은신' 효과가 적용되는 마물의 최대 레벨이 30으로 상승합니다."
109,"'은신' 효과가 적용되는 마물의 최대 레벨이 40으로 상승합니다."
110,"'은신' 효과가 적용되는 마물의 최대 레벨이 50으로 상승합니다."
111,"레벨 15 이하의 숨겨진 낚시터를 발견하여 낚시할 수 있게 됩니다."
112,"레벨 35 이하의 숨겨진 낚시터를 발견하여 낚시할 수 있게 됩니다."
113,"레벨 50 이하의 숨겨진 낚시터를 발견하여 낚시할 수 있게 됩니다."
114,"생미끼 낚시로 낚은 물고기를 다시 미끼로 사용하여 낚싯대 던지기를 실행할 수 있게 됩니다."
115,"에테르 순환 실행 시 곧바로 자신에게 최대 누적수의 <color #FF7B1A>'에테르 순환'</color>을 부여합니다.<br><color?>최대 누적수: </color>1"
116,"지능이 2 상승합니다."
117,"지능이 4 상승합니다."
118,"자동 공격을 제외한 모든 기술로 주는 피해량과 회복량이 기본 수치의 1.1배로 증가합니다.<br>또 소환수가 주는 피해량과 회복량이 기본 수치의 1.1배로 증가합니다."
119,"<color #FF7B1A>'에테르 순환'</color>의 최대 누적수가 2로 증가합니다."
120,"자신의 마법 시전 속도가 20% 상승합니다.<br><color?>지속시간: </color>8초<br><color?>발동조건: </color>소환수 기술에 극대화 발생 시(발동률 20%)"
121,"바이러스에 대상의 지능과 정신력을 15% 감소시키는 효과가 추가됩니다.<br><color?>지속시간: </color>10초"
122,"지능이 6 상승합니다."
123,"생명력 흡수의 MP 회복량이 2배로 증가합니다."
124,"자동 공격을 제외한 모든 기술로 주는 피해량과 회복량이 기본 수치의 1.3배로 증가합니다.<br>또 소환수가 주는 피해량과 회복량이 기본 수치의 1.3배로 증가합니다."
125,"<color #FF7B1A>'에테르 순환'</color>의 최대 누적수가 3으로 증가합니다."
126,"눈에는 눈의 재사용 대기 시간이 120초로 단축됩니다."
127,"각성의 재사용 대기 시간이 60초로 단축됩니다."
128,"버디의 힘이 5% 상승합니다."
129,"버디의 HP 최대치가 10% 상승합니다."
130,"버디의 명중력이 5% 상승합니다."
131,"버디의 극대화가 15% 상승합니다."
132,"버디의 힘이 5% 상승합니다."
133,"버디의 HP 최대치가 10% 상승합니다."
134,"버디의 힘이 5% 상승합니다."
135,"버디의 HP 최대치가 5% 상승합니다."
136,"버디의 명중력이 5% 상승합니다."
137,"버디의 극대화가 15% 상승합니다."
138,"버디의 힘이 10% 상승합니다."
139,"버디의 공격속도가 10% 상승합니다."
140,"버디의 정신력이 10% 상승합니다."
141,"버디의 HP 최대치가 5% 상승합니다."
142,"버디의 명중력이 5% 상승합니다."
143,"버디의 극대화가 15% 상승합니다."
144,"버디의 정신력이 15% 상승합니다."
145,"버디의 HP 최대치가 5% 상승합니다."
146,"힘이 2 상승합니다.<br><color #FFFF66>힘 상승 2(PvP): </color>힘이 추가로 4 상승합니다.<br><color #FFFF66>힘 상승 3(PvP): </color>힘이 추가로 6 상승합니다."
147,"힘이 2 상승합니다.<br><color #FFFF66>힘 상승 2(PvP): </color>힘이 추가로 4 상승합니다.<br><color #FFFF66>힘 상승 3(PvP): </color>힘이 추가로 6 상승합니다."
148,"힘이 2 상승합니다.<br><color #FFFF66>힘 상승 2(PvP): </color>힘이 추가로 4 상승합니다.<br><color #FFFF66>힘 상승 3(PvP): </color>힘이 추가로 6 상승합니다."
149,"민첩성이 2 상승합니다.<br><color #FFFF66>민첩성 상승 2(PvP): </color>민첩성이 추가로 4 상승합니다.<br><color #FFFF66>민첩성 상승 3(PvP): </color>민첩성이 추가로 6 상승합니다."
150,"민첩성이 2 상승합니다.<br><color #FFFF66>민첩성 상승 2(PvP): </color>민첩성이 추가로 4 상승합니다.<br><color #FFFF66>민첩성 상승 3(PvP): </color>민첩성이 추가로 6 상승합니다."
151,"민첩성이 2 상승합니다.<br><color #FFFF66>민첩성 상승 2(PvP): </color>민첩성이 추가로 4 상승합니다.<br><color #FFFF66>민첩성 상승 3(PvP): </color>민첩성이 추가로 6 상승합니다."
152,"활력이 2 상승합니다.<br><color #FFFF66>활력 상승 2(PvP): </color>활력이 추가로 4 상승합니다.<br><color #FFFF66>활력 상승 3(PvP): </color>활력이 추가로 6 상승합니다."
153,"활력이 2 상승합니다.<br><color #FFFF66>활력 상승 2(PvP): </color>활력이 추가로 4 상승합니다.<br><color #FFFF66>활력 상승 3(PvP): </color>활력이 추가로 6 상승합니다."
154,"활력이 2 상승합니다.<br><color #FFFF66>활력 상승 2(PvP): </color>활력이 추가로 4 상승합니다.<br><color #FFFF66>활력 상승 3(PvP): </color>활력이 추가로 6 상승합니다."
155,"지능이 2 상승합니다.<br><color #FFFF66>지능 상승 2(PvP): </color>지능이 추가로 4 상승합니다.<br><color #FFFF66>지능 상승 3(PvP): </color>지능이 추가로 6 상승합니다."
156,"지능이 2 상승합니다.<br><color #FFFF66>지능 상승 2(PvP): </color>지능이 추가로 4 상승합니다.<br><color #FFFF66>지능 상승 3(PvP): </color>지능이 추가로 6 상승합니다."
157,"지능이 2 상승합니다.<br><color #FFFF66>지능 상승 2(PvP): </color>지능이 추가로 4 상승합니다.<br><color #FFFF66>지능 상승 3(PvP): </color>지능이 추가로 6 상승합니다."
158,"정신력이 2 상승합니다.<br><color #FFFF66>정신력 상승 2(PvP): </color>정신력이 추가로 4 상승합니다.<br><color #FFFF66>정신력 상승 3(PvP): </color>정신력이 추가로 6 상승합니다."
159,"정신력이 2 상승합니다.<br><color #FFFF66>정신력 상승 2(PvP): </color>정신력이 추가로 4 상승합니다.<br><color #FFFF66>정신력 상승 3(PvP): </color>정신력이 추가로 6 상승합니다."
160,"정신력이 2 상승합니다.<br><color #FFFF66>정신력 상승 2(PvP): </color>정신력이 추가로 4 상승합니다.<br><color #FFFF66>정신력 상승 3(PvP): </color>정신력이 추가로 6 상승합니다."
161,"신앙심이 2 상승합니다.<br><color #FFFF66>신앙심 상승 2(PvP): </color>신앙심이 추가로 4 상승합니다.<br><color #FFFF66>신앙심 상승 3(PvP): </color>신앙심이 추가로 6 상승합니다."
162,"신앙심이 2 상승합니다.<br><color #FFFF66>신앙심 상승 2(PvP): </color>신앙심이 추가로 4 상승합니다.<br><color #FFFF66>신앙심 상승 3(PvP): </color>신앙심이 추가로 6 상승합니다."
163,"신앙심이 2 상승합니다.<br><color #FFFF66>신앙심 상승 2(PvP): </color>신앙심이 추가로 4 상승합니다.<br><color #FFFF66>신앙심 상승 3(PvP): </color>신앙심이 추가로 6 상승합니다."
164,""
165,""
166,""
167,""
168,""
169,""
170,""
171,""
172,""
173,""
174,""
175,""
176,""
177,""
178,""
179,""
180,""
181,""
182,""
183,""
184,""
185,""
186,""
187,""
188,""
189,""
190,""
191,""
192,""
193,""
194,""
195,""
196,""
197,""
198,""
199,""
200,""
201,""
202,""
203,""
204,""
205,""
206,""
207,""
208,""
209,""
210,""
211,""
212,""
213,""
214,""
215,""
216,""
217,""
218,""
219,""
220,""
221,""
222,""
223,""
224,""
225,""
226,""
227,""
228,""
229,""
230,""
231,""
232,""
233,""
234,""
235,""
236,"민첩성이 2 상승합니다."
237,"낙하로 받는 피해량이 감소합니다."
238,"민첩성이 4 상승합니다."
239,"기습 공격의 위력이 300으로, 정면공격 시 위력이 500으로 각각 상승합니다."
240,"민첩성이 6 상승합니다."
241,"자신의 이동 속도가 상승합니다.<br>※ PvP 지역에서 <color #FF7B1A>벌독</color> 또는 <color #FF7B1A>뱀독</color> 상태일 때는 무효화됩니다."
242,"벌독의 물리 공격 피해량 증가 효과가 20%로 상승하며, 목 따기의 추가 효과가 '대상을 2초 동안 기절시킴'으로 바뀝니다."
243,"질타의 TP 회복 효과량이 상승합니다."
244,"뱀독의 물리 공격 피해량 증가 효과가 20%로 상승하며, 약탈의 추가 효과가 '준 피해량의 50%만큼 HP 회복'으로 바뀝니다."
245,"무쌍베기의 지속시간을 30초로 연장합니다."
246,"피의 비 위력이 110으로 상승합니다."
247,""
248,""
249,""
250,""
251,""
252,""
253,""
254,""
255,""
256,""
257,"HQ가 존재하지 않는 아이템을 채집할 때, 간혹 채집 개수가 증가합니다.<br>발생 조건은 '통찰'로 확인 가능합니다."
258,"광맥과 바위터에 숨겨진 특수한 성질을 간혹 발견할 수 있게 됩니다."
259,"'은신' 효과가 적용되는 마물의 최대 레벨이 54로 상승합니다."
260,"'은신' 효과가 적용되는 마물의 최대 레벨이 57로 상승합니다."
261,"'은신' 효과가 적용되는 마물의 최대 레벨이 60으로 상승합니다."
262,"HQ가 존재하지 않는 아이템을 채집할 때, 간혹 채집 개수가 증가합니다.<br>발생 조건은 '통찰'로 확인 가능합니다."
263,"성목과 약초밭에 숨겨진 특수한 성질을 간혹 발견할 수 있게 됩니다."
264,"'은신' 효과가 적용되는 마물의 최대 레벨이 54로 상승합니다."
265,"'은신' 효과가 적용되는 마물의 최대 레벨이 57로 상승합니다."
266,"'은신' 효과가 적용되는 마물의 최대 레벨이 60으로 상승합니다."
267,"레벨 55 이하의 숨겨진 낚시터를 발견하여 낚시할 수 있게 됩니다."
268,"레벨 60 이하의 숨겨진 낚시터를 발견하여 낚시할 수 있게 됩니다."
269,"하늘섬에서 낚시할 수 있게 됩니다."
270,"'은신' 효과가 적용되는 마물의 최대 레벨이 54로 상승합니다."
271,"'은신' 효과가 적용되는 마물의 최대 레벨이 57로 상승합니다."
272,"'은신' 효과가 적용되는 마물의 최대 레벨이 60으로 상승합니다."
273,"용암에서 낚시할 수 있게 됩니다."
274,"마법샘에서 낚시할 수 있게 됩니다."
275,"활력이 2 상승합니다."
276,"그림자 방어의 피해량 감소 효과가 20%로 상승합니다."
277,"활력이 4 상승합니다."
278,"재앙의 지속 피해 유지 시간을 30초로 연장합니다."
279,"활력이 6 상승합니다."
280,"피의 칼날의 재사용 대기 시간이 40초로 단축됩니다."
281,"비열한 기습의 재사용 대기 시간을 초기화합니다.<br><color?>발동 조건</color>: 받아넘기기 발생 시(발동률 30%)"
282,"앙갚음의 재사용 대기 시간이 30초로 단축됩니다."
283,"다음에 시전하는 촉발의 소비 MP가 0이 됩니다.<br><color?>지속시간</color>: 15초<br><color?>발동 조건</color>: 살의 실행 시(발동률 30%)"
284,"어둠의 춤의 받아넘기기 발동률 상승 효과가 30%로 향상됩니다."
285,"흡혼검의 HP 흡수 효과가 주는 피해량의 100%로 향상됩니다."
286,"민첩성이 2 상승합니다."
287,"정비의 재사용 대기 시간이 60초로 단축됩니다."
288,"민첩성이 4 상승합니다."
289,"자동 공격을 제외한 모든 기술로 주는 피해량이 기본 수치의 1.1배로 증가합니다.<br>또 설치한 포탑이 주는 피해량이 기본 수치의 1.1배로 증가합니다."
290,"민첩성이 6 상승합니다."
291,"산탄 사격의 지속시간을 30초로 연장합니다."
292,"신속 장전의 재사용 대기 시간이 15초로 단축됩니다."
293,"확산 사격의 사정거리가 12m로 늘어납니다."
294,"자동 공격을 제외한 모든 기술로 주는 피해량이 기본 수치의 1.2배로 증가합니다.<br>또 설치한 포탑이 주는 피해량이 기본 수치의 1.2배로 증가합니다."
295,"속사의 효과가 무기 기술을 3회 사용할 때까지 유지됩니다."
296,"소이탄 효과 적용 중 축적되는 피해량이 25%로 향상됩니다."
297,"정신력이 2 상승합니다."
298,"정신력이 4 상승합니다."
299,"광속 시전의 공격마법 피해량 감소 효과가 25%로 감소합니다."
300,"자동 공격을 제외한 모든 기술로 주는 피해량과 회복량이 기본 수치의 1.1배로 증가합니다."
301,"정신력이 6 상승합니다."
302,"생환을 전투 중에도 실행할 수 있게 됩니다."
303,"다음에 시전하는 베네피라가 반드시 극대화됩니다.<br><color?>지속시간</color>: 15초<br><color?>발동 조건</color>: 베네피크 실행 시(발동률 15%)"
304,"본질적 위계의 재사용 대기 시간이 40초로 단축됩니다."
305,"자동 공격을 제외한 모든 기술로 주는 피해량과 회복량이 기본 수치의 1.3배로 증가합니다."
306,"행동 방해의 피해량 감소 효과가 10%로 향상됩니다."
307,"빛의 에테르의 MP 회복 효과량이 80으로 향상됩니다."
308,""
309,""
310,""
311,""
312,""
313,""
314,""
315,""
316,""
317,""
318,""
319,""
320,""
321,""
322,""
323,""
324,""
325,""
326,""
327,""
328,""
329,""
330,""
331,""
332,""
333,""
334,""
335,""
336,""
337,""
338,""
339,""
340,""
341,""
342,""
343,""
344,""
345,""
346,""
347,""
348,""
349,""
350,""
