Index,0 [0x7][0x8],1 [0x5][0x18],2 [0x7][0xc],3 [0x7][0x10],4 [0x7][0x14],5 [0x5][0x1a],6 [0x5][0x1c],7 [0x5][0x1e],8 [0x5][0x20],9 [0x19][0x22],10 [0x0][0x0],11 [0x0][0x4]
131072,0,0,0,0,0,1,1,0,0,false,"",""
131073,2040811,148,0,0,0,2,2,0,0,false,"",""
131074,3884000,204,590352,590353,0,3,1,0,0,false,"","'신궁부대 사령실'로 들어가시겠습니까?"
131075,3884182,132,0,0,0,1,1,0,0,false,"","'신궁부대 사령실'에서 나가시겠습니까?"
131076,3878860,133,0,0,0,1,1,0,0,false,"","'말없는 선인의 좌탁'에서 나가시겠습니까?"
131077,1381039,152,590354,590355,0,4,1,0,0,false,"'꽃꿀 나루'로 이동","'꽃꿀 나루'로 이동하시겠습니까?"
131078,1381038,133,590356,590259,0,4,1,0,0,false,"","'그리다니아 구시가지'로 이동하시겠습니까?"
131079,4124796,177,0,0,0,5,3,0,0,false,"",""
131080,1359058,179,0,0,0,5,4,0,0,false,"",""
131081,4124801,178,0,0,0,5,5,0,0,false,"",""
131082,4125264,128,0,0,0,1,1,0,0,false,"","나가시겠습니까?"
131083,2232680,132,0,0,0,1,1,0,0,false,"","나가시겠습니까?"
131084,4125288,130,0,0,0,1,1,0,0,false,"","나가시겠습니까?"
131085,4107979,131,0,0,0,1,1,0,0,false,"","'은갑옷단 총장실'에서 나가시겠습니까?"
131086,4143657,140,590441,590620,590448,6,1,0,0,false,"","'초승달 만'으로 이동하시겠습니까?<br>이용 요금: 40길"
131087,4143677,140,590442,590621,590449,6,1,0,0,false,"","'은 장터'로 이동하시겠습니까?<br>이용 요금: 40길"
131088,4107477,212,0,590450,0,7,1,0,0,false,"","'모래의 집'으로 들어가시겠습니까?"
131089,4132388,140,0,0,0,1,1,0,0,false,"","'모래의 집'에서 나가시겠습니까?"
131090,4148347,212,0,590564,0,21,1,0,0,false,"","'새벽의 방'으로 들어가시겠습니까?"
131091,4148350,212,0,0,0,1,1,0,0,false,"","'새벽의 방'에서 나가시겠습니까?"
131092,4158063,128,0,0,0,1,1,0,0,false,"'4층: 림사 로민사 비공정 승강장'으로 이동","'4층: 림사 로민사 비공정 승강장'으로 이동하시겠습니까?"
131093,4158069,128,0,0,0,1,1,0,0,false,"'2층: 모험가 길드 '물에 빠진 돌고래 주점''으로 이동","'2층: 모험가 길드 '물에 빠진 돌고래 주점''으로 이동하시겠습니까?"
131094,4161445,129,0,0,0,1,1,0,0,false,"'1층: 방파벽 회관'으로 이동","'1층: 방파벽 회관'으로 이동하시겠습니까?"
131095,4164411,130,0,0,0,1,1,0,0,false,"'4층: 울다하 비공정 승강장'으로 이동","'4층: 울다하 비공정 승강장'으로 이동하시겠습니까?"
131096,4164414,131,0,0,0,1,1,0,0,false,"'2층: 관청 구역'으로 이동","'2층: 관청 구역'으로 이동하시겠습니까?"
131097,4164413,130,0,0,0,1,1,0,0,false,"'1층: 루비길 국제시장'으로 이동","'1층: 루비길 국제시장'으로 이동하시겠습니까?"
131098,4087066,210,590451,590452,0,8,1,0,0,false,"","'은갑옷단 총장실'에 들어가시겠습니까?"
131099,4165046,146,590611,0,0,1,1,0,0,false,"","해당 지역으로 이동하시겠습니까?"
131100,4165037,145,590610,0,0,1,1,0,0,false,"","물가에서 탈출하시겠습니까?"
131101,4103382,132,0,590530,590453,9,1,227,232,true,"'그리다니아'로 이동","'그리다니아'로 이동하시겠습니까?<br>이용 요금: 120길"
131102,4103399,128,0,590530,590453,9,1,227,230,true,"'림사 로민사'로 이동","'림사 로민사'로 이동하시겠습니까?<br>이용 요금: 120길"
131103,4103339,130,0,589916,590454,9,1,231,228,true,"'울다하'로 이동","'울다하'로 이동하시겠습니까?<br>이용 요금: 120길"
131104,4103399,128,0,589916,590454,9,1,231,230,true,"'림사 로민사'로 이동","'림사 로민사'로 이동하시겠습니까?<br>이용 요금: 120길"
131105,4103339,130,0,590531,590455,9,1,229,228,true,"'울다하'로 이동","'울다하'로 이동하시겠습니까?<br>이용 요금: 120길"
131106,4103382,132,0,590531,590455,9,1,229,232,true,"'그리다니아'로 이동","'그리다니아'로 이동하시겠습니까?<br>이용 요금: 120길"
131107,4165398,129,0,591076,590456,10,1,235,234,true,"","'림사 로민사'로 이동하시겠습니까?<br>이용 요금: 80길"
131108,4165376,140,0,591077,590457,10,1,233,236,true,"","'저녁별 만'으로 이동하시겠습니까?<br>이용 요금: 80길"
131109,4165794,138,590514,590515,590622,11,1,0,0,false,"'맥주 항구'로 이동","'맥주 항구'로 이동하시겠습니까?<br>이용 요금: 40길"
131110,4165749,129,590516,590517,590623,11,1,0,0,false,"'림사 로민사'로 이동","'림사 로민사'로 이동하시겠습니까?<br>이용 요금: 40길"
131111,4165755,137,590518,590519,590624,12,1,0,0,false,"'코스타 델 솔'로 이동","'코스타 델 솔'로 이동하시겠습니까?<br>이용 요금: 40길"
131112,4165749,129,590520,590521,590625,12,1,0,0,false,"'림사 로민사'로 이동","'림사 로민사'로 이동하시겠습니까?<br>이용 요금: 40길"
131113,4165801,139,590510,0,590511,13,1,0,0,false,"'지지룬 교역상점'으로 이동","'지지룬 교역상점'으로 이동하시겠습니까?<br>이용 요금: 40길"
131114,4165797,139,590512,0,590513,13,1,0,0,false,"'메메룬 교역상점'으로 이동","'메메룬 교역상점'으로 이동하시겠습니까?<br>이용 요금: 40길"
131115,4165794,138,590522,590626,590628,14,1,0,0,false,"'맥주 항구'로 이동","'맥주 항구'로 이동하시겠습니까?<br>이용 요금: 40길"
131116,4165877,135,590523,590627,590629,14,1,0,0,false,"'촛불지기 부두'로 이동","'촛불지기 부두'로 이동하시겠습니까?<br>이용 요금: 40길"
131117,1317627,148,590524,590525,0,15,1,0,0,false,"'하얀 늑대 관문' 밖으로 이동","'하얀 늑대 관문'으로 나가시겠습니까?"
131118,1317561,132,590529,590526,0,15,1,0,0,false,"","'그리다니아'에 들어가시겠습니까?"
131119,4165759,137,590527,0,590630,16,1,0,0,false,"'빗물받이 숲'으로 이동","'빗물받이 숲'으로 이동하시겠습니까?<br>이용 요금: 40길"
131120,4165758,137,590528,0,590631,16,1,0,0,false,"'숨겨진 폭포'로 이동","'숨겨진 폭포'로 이동하시겠습니까?<br>이용 요금: 40길"
131121,3877982,205,590535,590536,0,19,1,0,0,false,"'말없는 선인의 좌탁'으로 이동","'말없는 선인의 좌탁'으로 이동하시겠습니까?"
131122,4146949,198,590563,0,0,20,1,0,0,false,"'사령함교: 제독실'로 이동","'사령함교: 제독실'로 이동하시겠습니까?"
131123,4169071,129,0,0,0,1,1,0,0,false,"","'사령함교: 제독실'에서 나가시겠습니까?"
131124,4190590,134,0,0,0,2,2,0,0,false,"",""
131125,4189532,141,0,0,0,2,2,0,0,false,"",""
131126,4165939,146,590603,0,0,1,1,0,0,false,"","'미노타우로스 말름'으로 이동하시겠습니까?"
131127,4165935,146,590604,0,0,1,1,0,0,false,"","'날 사당'으로 이동하시겠습니까?"
131128,4103339,130,590607,0,0,1,1,0,0,false,"","'라운지'로 돌아가시겠습니까?"
131129,4103382,132,590608,0,0,1,1,0,0,false,"","'라운지'로 돌아가시겠습니까?"
131130,4103399,128,590609,0,0,1,1,0,0,false,"","'라운지'로 돌아가시겠습니까?"
131131,4264415,250,590632,0,0,1,1,0,0,false,"'늑대우리'로 이동","'늑대우리'로 이동하시겠습니까?"
131132,4264426,135,590633,0,0,1,1,0,0,false,"'모라비 조선소'로 이동","'모라비 조선소'로 이동하시겠습니까?"
131133,4165794,138,590634,0,0,1,1,0,0,false,"'맥주 항구'로 이동","'맥주 항구'로 이동하시겠습니까?"
131134,4264587,138,590635,590636,590637,22,1,0,0,false,"'환영 제도'로 이동","'환영 제도'로 이동하시겠습니까?<br>이용 요금: 40길"
